"Species","IUCNstatus"
"Abrahamia latifolia","Vulnerable"
"Abrahamia lecomtei","Vulnerable"
"Abrahamia viguieri","Not Threatened"
"Acacia georgensis","Not Evaluated"
"Acacia matthewii","Not Evaluated"
"Acacia resinistipulea","Not Threatened"
"Acacia veronica","Not Evaluated"
"Acer floridanum","Not Threatened"
"Acer leucoderme","Not Threatened"
"Acridocarpus plagiopterus","Not Threatened"
"Actinodaphne diversifolia","Not Threatened"
"Actinodaphne macrophylla","Not Threatened"
"Actinodaphne pruinosa","Not Threatened"
"Adansonia grandidieri","Threatened"
"Adinandra acuminata","Not Evaluated"
"Adinandra cordifolia","Not Evaluated"
"Adinandra dumosa","Not Threatened"
"Adinandra magniflora","Not Evaluated"
"Adinandra verrucosa","Not Threatened"
"Aetoxylon sympetalum","Not Evaluated"
"Afrocanthium rondoense","Threatened"
"Afzelia parviflora","Not Threatened"
"Aganope leucobotrya","Not Threatened"
"Agathis borneensis","Threatened"
"Agathis kinabaluensis","Threatened"
"Agathis lenticula","Vulnerable"
"Agelaea borneensis","Not Evaluated"
"Agelaea macrophylla","Not Threatened"
"Aglaia angustifolia","Vulnerable"
"Aglaia crassinervia","Not Threatened"
"Aglaia eximia","Not Evaluated"
"Aglaia exstipulata","Not Threatened"
"Aglaia forbesii","Not Threatened"
"Aglaia glabrata","Not Threatened"
"Aglaia hiernii","Not Threatened"
"Aglaia leptantha","Not Threatened"
"Aglaia macrocarpa","Not Threatened"
"Aglaia malaccensis","Not Threatened"
"Aglaia odoratissima","Not Threatened"
"Aglaia rubiginosa","Not Threatened"
"Aglaia scortechinii","Vulnerable"
"Aglaia simplicifolia","Not Threatened"
"Aglaia squamulosa","Not Threatened"
"Aglaia tenuicaulis","Not Threatened"
"Agonandra goldbergiana","Threatened"
"Agrostistachys borneensis","Not Threatened"
"Agrostistachys gaudichaudii","Not Threatened"
"Aidia densiflora","Not Evaluated"
"Aiouea guatemalensis","Vulnerable"
"Aiouea parvissima","Threatened"
"Alangium ridleyi","Not Evaluated"
"Alangium uniloculare","Not Evaluated"
"Albizia sahafariensis","Threatened"
"Albizia splendens","Not Evaluated"
"Alchornea parviflora","Not Evaluated"
"Aleisanthiopsis distantiflora","Not Evaluated"
"Allexis cauliflora","Vulnerable"
"Allophylus javensis","Not Evaluated"
"Allophylus talbotii","Not Evaluated"
"Alphonsea cylindrica","Not Evaluated"
"Alphonsea javanica","Not Evaluated"
"Alphonsea kinabaluensis","Not Evaluated"
"Alphonsea maingayi","Not Threatened"
"Alseodaphne insignis","Not Threatened"
"Alstonia angustifolia","Not Threatened"
"Alstonia angustiloba","Not Evaluated"
"Alstonia iwahigensis","Not Evaluated"
"Alstonia pneumatophora","Not Threatened"
"Amanoa bracteosa","Not Threatened"
"Amanoa caribaea","Not Evaluated"
"Ambavia capuronii","Vulnerable"
"Amphitecna donnell-smithii","Threatened"
"Amyrea remotiflora","Threatened"
"Amyxa pluricornis","Not Evaluated"
"Anacolosa casearioides","Not Threatened"
"Androsiphonia adenostegia","Not Threatened"
"Androtium astylum","Not Evaluated"
"Angostura quinquefolia","Vulnerable"
"Anisophyllea corneri","Not Threatened"
"Anisophyllea disticha","Not Threatened"
"Anisophyllea ferruginea","Vulnerable"
"Anisotes guineensis","Threatened"
"Anthocleista nobilis","Not Threatened"
"Antidesma coriaceum","Not Evaluated"
"Antidesma cuspidatum","Not Evaluated"
"Antidesma helferi","Not Evaluated"
"Antidesma leucocladon","Not Evaluated"
"Antidesma leucopodum","Not Threatened"
"Antidesma neurocarpum","Not Evaluated"
"Antidesma oblongum","Not Threatened"
"Antidesma orthogyne","Not Evaluated"
"Antidesma pendulum","Not Evaluated"
"Antidesma stipulare","Not Threatened"
