"Species","IUCNstatus"
"Abies chensiensis","Not Threatened"
"Abies cilicica","Not Threatened"
"Abies delavayi","Not Threatened"
"Abies fabri","Vulnerable"
"Abies fargesii","Not Threatened"
"Acacia pedleyi","Not Evaluated"
"Acer amplum","Not Threatened"
"Acer barbinerve","Not Threatened"
"Acer buergerianum","Not Threatened"
"Acer campbellii","Not Threatened"
"Acer caudatum","Not Threatened"
"Acer confertifolium","Vulnerable"
"Acer cordatum","Not Threatened"
"Acer crassum","Vulnerable"
"Acer davidii","Not Threatened"
"Acer elegantulum","Not Threatened"
"Acer erianthum","Not Threatened"
"Acer fabri","Not Threatened"
"Acer fenzelianum","Vulnerable"
"Acer griseum","Threatened"
"Acer henryi","Not Threatened"
"Acer leipoense","Threatened"
"Acer longipes","Not Threatened"
"Acer lucidum","Not Threatened"
"Acer mandshuricum","Not Threatened"
"Acer oblongum","Not Threatened"
"Acer obtusifolium","Not Threatened"
"Acer oliverianum","Not Threatened"
"Acer paxii","Not Threatened"
"Acer pentapomicum","Not Threatened"
"Acer pilosum","DD"
"Acer sikkimense","Not Threatened"
"Acer sinopurpurascens","Not Threatened"
"Acer stachyophyllum","Not Threatened"
"Acer tenellum","Threatened"
"Acer truncatum","Not Threatened"
"Acer tutcheri","Not Threatened"
"Acer wardii","Not Threatened"
"Actephila merrilliana","Not Threatened"
"Actinodaphne cupularis","Not Threatened"
"Actinodaphne forrestii","Not Threatened"
"Actinodaphne lecomtei","Not Threatened"
"Actinodaphne omeiensis","Not Threatened"
"Actinodaphne trichocarpa","Not Threatened"
"Actinodaphne tsaii","Not Evaluated"
"Adina pilulifera","Not Threatened"
"Adinandra bockiana","Not Evaluated"
"Adinandra glischroloma","Not Evaluated"
"Adinandra milletii","Not Evaluated"
"Adinandra nigroglandulosa","Not Evaluated"
"Aegiphila pennellii","Vulnerable"
"Aesculus chinensis","Not Evaluated"
"Aesculus indica","Not Threatened"
"Aglaia odorata","Not Threatened"
"Agrostistachys hookeri","Threatened"
"Aidia canthioides","Not Threatened"
"Aidia cochinchinensis","Not Threatened"
"Aidia gardneri","Not Evaluated"
"Aidia henryi","Not Evaluated"
"Aidia oxyodonta","Not Evaluated"
"Aidia pycnantha","Not Threatened"
"Alangium barbatum","Not Threatened"
"Alangium kurzii","Not Threatened"
"Alangium platanifolium","Not Threatened"
"Albizia attopeuensis","Not Evaluated"
"Albizia kalkora","Not Evaluated"
"Albizia tomentella","Not Threatened"
"Allophylus caudatus","Not Evaluated"
"Allophylus grandiflorus","Not Evaluated"
"Allophylus zeylanicus","Vulnerable"
"Alniphyllum fortunei","Not Threatened"
"Alnus cremastogyne","Not Threatened"
"Alnus subcordata","Not Threatened"
"Alnus trabeculosa","Not Threatened"
"Alphonsea hainanensis","Threatened"
"Alphonsea maingayi","Not Threatened"
"Alphonsea mollis","Not Threatened"
"Alphonsea monogyna","Vulnerable"
"Alphonsea zeylanica","Not Evaluated"
"Alstonia venenata","Not Evaluated"
"Amelanchier asiatica","Not Evaluated"
"Amelanchier sinica","Not Threatened"
"Amentotaxus argotaenia","Not Threatened"
"Amentotaxus yunnanensis","Vulnerable"
"Ampelocera albertiae","Threatened"
"Amphitecna lundellii","Threatened"
"Aniba santalodora","Vulnerable"
"Annona hayesii","Not Threatened"
"Antidesma alexiteria","Not Evaluated"
"Antidesma costulatum","Not Evaluated"
"Antidesma japonicum","Not Threatened"
"Antidesma maclurei","Not Evaluated"
"Antidesma tetrandrum","Not Evaluated"
"Antirhea chinensis","Not Threatened"
"Aphananthe aspera","Not Threatened"
"Apodytes geldenhuysii","Not Evaluated"
"Aquilaria sinensis","Vulnerable"
"Arachnothryx myriantha","Threatened"
"Arachnothryx skutchii","Not Evaluated"
"Aralia armata","Not Threatened"
"Aralia caesia","Not Evaluated"
"Aralia chinensis","Vulnerable"
"Aralia dasyphylla","Not Threatened"
"Aralia echinocaulis","Not Threatened"
"Aralia elata","Not Threatened"
"Aralia finlaysoniana","Not Evaluated"
"Aralia stipulata","Not Evaluated"
"Aralia tomentella","Not Evaluated"
"Aralia undulata","Not Evaluated"
"Aralia verticillata","Not Evaluated"
"Araucaria nemorosa","Threatened"
"Archidendron chevalieri","Not Evaluated"
"Archidendron kerrii","Not Evaluated"
"Archidendron lucidum","Not Threatened"
"Archidendron robinsonii","Not Evaluated"
"Archidendron utile","Not Evaluated"
"Ardisia densilepidotula","Not Threatened"
"Ardisia fruticosa","Not Threatened"
"Ardisia glomerata","Threatened"
"Ardisia jefeana","Vulnerable"
"Ardisia nervosa","Not Evaluated"
"Ardisia obtusa","Not Evaluated"
"Ardisia quinquegona","Not Threatened"
"Ardisia sieboldii","Not Threatened"
"Arfeuillea arborescens","Not Evaluated"
"Argyreia roxburghii","Not Evaluated"
"Artocarpus heterophyllus","Not Evaluated"
"Artocarpus tonkinensis","Not Evaluated"
"Aspalathus capitata","Not Evaluated"
"Atalantia buxifolia","Not Threatened"
"Aucuba chinensis","Not Threatened"
"Aucuba chlorascens","Not Threatened"
"Aucuba himalaica","Not Threatened"
