"Species","IUCNstatus"
"Abies pindrow","Not Threatened"
"Acacia auripila","Not Evaluated"
"Acalypha longispica","Not Threatened"
"Acalypha novoguineensis","Not Threatened"
"Acalypha rapensis","Not Evaluated"
"Acalypha repanda","Not Threatened"
"Aceratium archboldianum","Not Threatened"
"Aceratium brassii","Not Threatened"
"Aceratium ledermannii","Not Threatened"
"Aceratium muellerianum","Not Threatened"
"Aceratium parvifolium","Not Threatened"
"Aceratium pittosporoides","Vulnerable"
"Aceratium tomentosum","Not Threatened"
"Acmopyle sahniana","Threatened"
"Acronychia emarginata","Not Threatened"
"Acronychia foveata","Vulnerable"
"Acronychia ledermannii","Not Threatened"
"Acronychia montana","Not Threatened"
"Acronychia murina","Not Threatened"
"Acronychia pullei","Not Threatened"
"Acropogon aoupiniensis","Threatened"
"Acropogon domatifer","Vulnerable"
"Acropogon macrocarpus","Not Threatened"
"Acropogon merytifolius","Not Threatened"
"Acropogon schumanniana","Not Evaluated"
"Actinodaphne tomentosa","Vulnerable"
"Actinorhytis calapparia","Not Evaluated"
"Aesculus indica","Not Threatened"
"Agathis silbae","Not Threatened"
"Aglaia agglomerata","Not Threatened"
"Aglaia conferta","DD"
"Aglaia cremea","Not Threatened"
"Aglaia flavescens","Not Threatened"
"Aglaia lepidopetala","Not Threatened"
"Aglaia leucoclada","Vulnerable"
"Aglaia polyneura","Not Threatened"
"Aglaia puberulanthera","Not Threatened"
"Aglaia subminutiflora","Not Threatened"
"Aidia waugia","Threatened"
"Airosperma grandifolia","Not Threatened"
"Aistopetalum multiflorum","Not Threatened"
"Albizia sinaloensis","Not Evaluated"
"Alectryon macrophyllus","DD"
"Alectryon myrmecophilus","DD"
"Alectryon strigosus","DD"
"Allophylus laetevirens","DD"
"Allophylus micrococcus","DD"
"Alnus nitida","Not Threatened"
"Alphandia furfuracea","Not Evaluated"
"Alphitonia ferruginea","Not Threatened"
"Alseodaphne archboldiana","Not Threatened"
"Alstonia quaternata","Not Evaluated"
"Alstonia rubiginosa","Vulnerable"
"Amaracarpus attenuatus","Not Threatened"
"Amaracarpus compactus","Not Threatened"
"Amaracarpus grandifolius","Not Threatened"
"Amborella trichopoda","Not Threatened"
"Amphipterygium glaucum","Threatened"
"Andira jaliscensis","Vulnerable"
"Antidesma chalaranthum","Not Threatened"
"Antidesma myriocarpum","Not Threatened"
"Antirhea megacarpa","Not Threatened"
"Apodytes clusiifolia","Not Threatened"
"Aporosa brassii","Not Threatened"
"Aporosa caloneura","Not Evaluated"
"Aporosa carrii","Not Threatened"
"Aporosa hermaphrodita","Not Threatened"
"Aporosa laxiflora","Not Threatened"
"Aporosa nigropunctata","Not Threatened"
"Aporosa vagans","Not Threatened"
"Araucaria hunsteinii","Not Threatened"
"Araucaria schmidii","Vulnerable"
"Archidendron bellum","Not Threatened"
"Archidendron glabrum","Not Threatened"
"Archidendron ptenopum","Not Threatened"
"Aristotelia gaultheria","Not Threatened"
"Artocarpus sepicanus","Not Threatened"
"Arytera densiflora","Not Threatened"
"Arytera multijuga","DD"
"Arytera neoebudensis","Not Evaluated"
"Aspidostemon glandulosus","Threatened"
"Astrocasia peltata","Not Evaluated"
"Atractocarpus decorus","Not Threatened"
"Atractocarpus macarthurii","Not Threatened"
"Austrobuxus alticola","Not Evaluated"
"Austrobuxus ovalis","Not Evaluated"
"Austrobuxus vieillardii","Not Evaluated"
"Austromyrtus poimbailensis","Not Evaluated"
"Austrotaxus spicata","Not Threatened"
"Balanops microstachya","Not Evaluated"
"Balanops oliviformis","Not Evaluated"
"Baloghia montana","Vulnerable"
"Banara portoricensis","Not Evaluated"
"Barringtonia apiculata","Not Threatened"
"Barringtonia lauterbachii","Not Threatened"
"Barringtonia longifolia","Not Evaluated"
"Barringtonia monticola","DD"
"Barringtonia neocaledonica","Not Evaluated"
"Barringtonia niedenzuana","Not Threatened"
"Barringtonia novae-hiberniae","Not Threatened"
"Barringtonia papuana","Not Threatened"
"Barringtonia procera","Not Threatened"
"Basselinia glabrata","Vulnerable"
"Beaucarnea hiriartiae","Threatened"
"Beilschmiedia acutifolia","Not Threatened"
"Beilschmiedia angustielliptica","Threatened"
"Beilschmiedia caloneura","Not Threatened"
"Beilschmiedia morobensis","Threatened"
"Beilschmiedia sary","Vulnerable"
"Beiselia mexicana","Threatened"
"Benstonea adinobotrys","Not Threatened"
"Bernardia fonsecae","Threatened"
"Bernardia wilburii","Vulnerable"
"Blepharis dhofarensis","Vulnerable"
"Blepharispermum hirtum","Vulnerable"
"Bocconia hintoniorum","Threatened"
"Bocquillonia phenacostigma","Threatened"
"Boehmeria subintegra","Not Threatened"
"Bonellia flammea","Threatened"
"Bonellia montana","Threatened"
"Borassodendron borneense","Not Evaluated"
"Boscia arabica","Vulnerable"
"Bourreria hintonii","Not Evaluated"
"Bourreria rowellii","Threatened"
"Brachychiton carruthersii","Vulnerable"
"Brassiantha pentamera","Not Threatened"
"Breynia collaris","Not Threatened"
"Brongniartia proteranthera","Threatened"
"Brunfelsia densifolia","Not Evaluated"
"Burretiokentia vieillardii","Not Threatened"
"Bursera chemapodicta","Vulnerable"
"Bursera discolor","Not Threatened"
"Bursera krusei","Vulnerable"
"Bursera macvaughiana","Threatened"
"Bursera paradoxa","Not Evaluated"
"Bursera stenophylla","Not Threatened"
"Bursera trimera","Vulnerable"
"Buxus portoricensis","Not Evaluated"
"Calliandra erythrocephala","Not Evaluated"
"Calliandra physocalyx","Not Evaluated"
"Callicarpa ampla","Threatened"
"Calophyllum carrii","Vulnerable"
"Calophyllum laticostatum","Not Threatened"
"Calophyllum papuanum","Not Threatened"
"Calophyllum pauciflorum","Not Threatened"
"Calophyllum peekelii","Not Threatened"
"Calyptrocalyx albertisianus","Not Threatened"
"Calyptrocalyx lauterbachianus","Not Threatened"
"Canarium cestracion","Not Threatened"
"Canarium kaniense","Not Threatened"
"Canarium latistipulatum","Not Evaluated"
"Canarium macadamii","Threatened"
"Canarium rigidum","DD"
"Capurodendron rufescens","Threatened"
"Carpodetus arboreus","Not Threatened"
"Carpodetus grandiflorus","Not Threatened"
"Carpodetus major","Not Threatened"
"Casearia clutiifolia","Not Threatened"
"Casearia pachyphylla","Not Threatened"
"Casearia ripicola","Not Threatened"
"Chamaedorea foveata","Vulnerable"
"Chambeyronia lepidota","Not Threatened"
"Chiococca petrina","Not Evaluated"
"Chionanthus brassii","Not Threatened"
"Chionanthus holdridgii","Not Evaluated"
"Chionanthus riparius","Not Threatened"
"Chionanthus sessiliflorus","Not Threatened"
"Chisocheton sapindinus","Not Threatened"
"Chisocheton sayeri","Not Threatened"
"Cinnamomum archboldianum","Not Threatened"
"Cinnamomum clemensii","Not Threatened"
"Cinnamomum eugenoliferum","Not Threatened"
"Cinnamomum frodinii","Threatened"
"Cinnamomum grandiflorum","DD"
"Cinnamomum ledermannii","Not Threatened"
"Cinnamomum podagricum","Not Threatened"
"Citronella vitiensis","Not Evaluated"
"Claoxylon coriaceolanatum","Not Threatened"
"Claoxylon ledermannii","Not Threatened"
"Claoxylon lutescens","Not Threatened"
"Claoxylon microcarpum","Not Threatened"
"Claoxylon muscisilvae","Not Threatened"
"Claoxylon nubicola","Not Threatened"
"Claoxylon papuae","Not Threatened"
"Claoxylon paucinerve","Vulnerable"
"Cleidion macarangoides","Vulnerable"
"Cleidion veillonii","Threatened"
"Cleistanthus insignis","Vulnerable"
"Cleyera velutina","Threatened"
"Clinosperma lanuginosa","Threatened"
"Coccoloba goldmanii","Not Evaluated"
"Coccoloba sintenisii","Not Evaluated"
"Coccothrinax readii","Not Threatened"
"Codia albicans","Not Threatened"
"Codia incrassata","Not Threatened"
"Cola boxiana","Threatened"
"Combretum gillettianum","Threatened"
"Commersonia novoguinensis","Not Threatened"
"Commiphora dalzielii","Threatened"
"Comptonella microcarpa","Not Evaluated"
"Comptonella sessilifoliola","Not Evaluated"
"Conocarpus lancifolius","Not Threatened"
"Coprosma cookei","DD"
"Coprosma papuensis","Not Threatened"
"Cordia gracilipes","Threatened"
"Cordia igualensis","Threatened"
"Cordia seleriana","Not Threatened"
