"Species","IUCNstatus"
"Acacia pataczekii","Not Evaluated"
"Actinodaphne stenophylla","Not Evaluated"
"Albizia sherriffii","Not Evaluated"
"Aloe gracilicaulis","Threatened"
"Aloidendron eminens","Not Evaluated"
"Anodopetalum biglandulosum","Not Threatened"
"Aralia gintungensis","Not Evaluated"
"Artocarpus heterophyllus","Not Evaluated"
"Baccaurea odoratissima","Vulnerable"
"Bauhinia ellenbeckii","Not Evaluated"
"Bauhinia lunarioides","Not Evaluated"
"Blachia calycina","Not Evaluated"
"Boswellia elongata","Vulnerable"
"Boswellia frereana","Not Evaluated"
"Boswellia socotrana","Vulnerable"
"Buchanania axillaris","Not Evaluated"
"Camellia tuberculata","Not Threatened"
"Cephalotaxus lanceolata","Threatened"
"Cestrum undulatum","Not Evaluated"
"Chapmannia gracilis","Not Threatened"
"Cinnamomum perrottetii","Threatened"
"Commiphora ornifolia","Not Threatened"
"Commiphora planifrons","Not Threatened"
"Corylopsis glaucescens","Not Evaluated"
"Corylopsis trabeculosa","Not Evaluated"
"Crataegus atrovirens","Not Evaluated"
"Crataegus chlorocarpa","Not Threatened"
"Crataegus enderbyensis","Not Evaluated"
"Crataegus okennonii","Not Threatened"
"Crataegus orbicularis","Not Evaluated"
"Crataegus phippsii","DD"
"Crataegus tracyi","Not Threatened"
"Cryptolepis arbuscula","Not Threatened"
"Cryptolepis macrophylla","Vulnerable"
"Dirichletia obovata","Not Threatened"
"Dirichletia virgata","Not Threatened"
"Dovyalis verrucosa","Not Evaluated"
"Dracaena cinnabari","Vulnerable"
"Elaeagnus lanpingensis","Not Evaluated"
"Elaeocarpus brachystachyus","Not Evaluated"
"Elaeocarpus serratus","Not Evaluated"
"Eriobotrya salwinensis","Not Evaluated"
"Eucalyptus archeri","Not Threatened"
"Eucalyptus coccifera","Not Threatened"
"Eucalyptus johnstonii","Not Threatened"
"Eucalyptus morrisbyi","Threatened"
"Eucalyptus urnigera","Not Threatened"
"Eucryphia lucida","Not Threatened"
"Euphorbia arbuscula","Not Threatened"
"Eurya gungshanensis","Not Evaluated"
"Eurya perserrata","Not Evaluated"
"Ficus glareosa","Threatened"
"Gordonia obtusa","Not Threatened"
"Graffenrieda foliosa","Not Evaluated"
"Hyospathe peruviana","Not Evaluated"
"Iochroma nitidum","Not Evaluated"
"Itea kiukiangensis","Not Evaluated"
"Jatropha unicostata","Not Threatened"
"Juniperus saltillensis","Threatened"
"Leptospermum glaucescens","Not Threatened"
"Lindera villipes","Not Evaluated"
"Litsea gongshanensis","Not Threatened"
"Machilus gongshanensis","Not Evaluated"
"Magnolia nilagirica","Vulnerable"
"Mimusops laurifolia","Not Evaluated"
"Neolitsea lunglingensis","Not Evaluated"
"Phyllocladus aspleniifolius","Not Threatened"
"Populus mainlingensis","Not Evaluated"
"Populus yatungensis","Not Evaluated"
"Punica protopunica","Vulnerable"
"Quercus canbyi","Not Threatened"
"Rhododendron coryanum","Not Evaluated"
"Rhododendron faucium","Not Evaluated"
"Rhododendron hylaeum","Not Evaluated"
"Ribes cuneifolium","Not Evaluated"
"Salix divergentistyla","Not Evaluated"
"Salix pseudowallichiana","Not Evaluated"
"Schefflera pardoana","Not Evaluated"
"Schefflera wardii","Not Evaluated"
"Senna cushina","Not Evaluated"
"Sorbus croceocarpa","DD"
"Sorbus eminens","Vulnerable"
"Sorbus latifolia","Vulnerable"
"Styrax platanifolius","Not Threatened"
"Syringa pinetorum","Not Threatened"
"Turpinia macrosperma","Not Evaluated"
"Vernonia cockburniana","Not Threatened"
"Abarema glauca","Not Threatened"
"Abarema obovalis","Not Evaluated"
"Abies cephalonica","Not Threatened"
"Abies cilicica","Not Threatened"
"Abies homolepis","Not Threatened"
"Abies mariesii","Not Threatened"
"Abies nordmanniana","Not Threatened"
"Abies veitchii","Not Threatened"
"Acacia acrionastes","Not Evaluated"
"Acacia alleniana","Not Threatened"
"Acacia ampliceps","Not Threatened"
"Acacia arafurica","Not Evaluated"
"Acacia areolata","Not Threatened"
"Acacia argyrodendron","Not Threatened"
"Acacia armillata","Not Evaluated"
"Acacia armitii","Not Threatened"
"Acacia attenuata","Not Evaluated"
"Acacia barrettiorum","Not Evaluated"
"Acacia brassii","Not Threatened"
"Acacia brockii","Not Evaluated"
"Acacia celastrifolia","Not Threatened"
"Acacia celsa","Not Threatened"
"Acacia cincinnata","Not Threatened"
"Acacia colei","Not Threatened"
"Acacia concurrens","Not Threatened"
"Acacia conspersa","Not Threatened"
"Acacia convallium","Not Threatened"
"Acacia cowaniana","Not Evaluated"
"Acacia crassa","Not Threatened"
"Acacia crassicarpa","Not Threatened"
"Acacia cretata","Not Threatened"
"Acacia crombiei","Not Evaluated"
"Acacia delibrata","Not Threatened"
"Acacia dietrichiana","Not Threatened"
"Acacia difficilis","Not Threatened"
"Acacia disparrima","Not Threatened"
"Acacia dunnii","Not Threatened"
"Acacia echinuliflora","Not Evaluated"
"Acacia ephedroides","Not Threatened"
"Acacia fasciculifera","Not Evaluated"
"Acacia flavescens","Not Threatened"
"Acacia gardneri","Not Threatened"
"Acacia glaucocarpa","Not Threatened"
"Acacia gnidium","Not Evaluated"
"Acacia gonocarpa","Not Threatened"
"Acacia grandifolia","Not Evaluated"
"Acacia hammondii","Not Threatened"
"Acacia hemignosta","Not Threatened"
"Acacia hemsleyi","Not Threatened"
"Acacia holotricha","Not Evaluated"
"Acacia hylonoma","Not Evaluated"
"Acacia islana","Not Evaluated"
"Acacia jasperensis","Not Threatened"
"Acacia kelleri","Not Threatened"
"Acacia lacertensis","Not Threatened"
"Acacia lamprocarpa","Not Threatened"
"Acacia latescens","Not Threatened"
"Acacia legnota","Not Evaluated"
"Acacia leptocarpa","Not Threatened"
"Acacia leptoloba","Not Threatened"
"Acacia longispicata","Not Threatened"
"Acacia loroloba","Not Threatened"
