"Species","IUCNstatus"
"Abarema_abbottii","VU"
"Abarema_alexandri",NA
"Abarema_asplenifolia",NA
"Abarema_centiflora","VU"
"Abarema_nipensis",NA
"Abarema_oxyphyllidia","CR"
"Abies_beshanzuensis","CR"
"Abies_nebrodensis","CR"
"Abies_numidica","CR"
"Abies_yuanbaoshanensis","CR"
"Abies_ziyuanensis","EN"
"Abutilon_haenkeanum","LC"
"Abutilon_sachetianum","VU"
"Abutilon_venosum",NA
"Acacia_auripila",NA
"Acacia_heterophylla",NA
"Acacia_kauaiensis",NA
"Acacia_ouyrarema",NA
"Acacia_pachyceras",NA
"Acacia_seclusa",NA
"Acacia_willingii",NA
"Acalypha_chocoana","LC"
"Acalypha_forsteriana",NA
"Acalypha_grandibracteata",NA
"Acalypha_grisebachiana","LC"
"Acalypha_inaequilatera","CR"
"Acalypha_juruana","DD"
"Acalypha_lepinei","VU"
"Acalypha_raivavensis","CR"
"Acalypha_rapensis",NA
"Acalypha_repanda","LC"
"Acalypha_rivularis",NA
"Acalypha_wilkesiana",NA
"Acer_amamiense","CR"
"Acer_ceriferum",NA
"Acer_chiangdaoense","EN"
"Acer_elegantulum","LC"
"Acer_erythranthum","NT"
"Acer_fenzelianum","VU"
"Acer_miyabei","VU"
"Acer_oligocarpum","EN"
"Acer_pauciflorum","NT"
"Acer_poliophyllum","VU"
"Acer_pycnanthum","VU"
"Acer_sinense","LC"
"Acer_sino-oblongum","EN"
"Acer_sinopurpurascens","LC"
"Acer_sutchuenense","EN"
"Acer_sycopseoides","LC"
"Acer_tibetense","VU"
"Acer_undulatum","CR"
"Acer_velutinum","LC"
"Acer_wilsonii","LC"
"Acer_yinkunii","DD"
"Acer_yui","EN"
"Aceratium_pachypetalum",NA
"Aceratium_sericeum",NA
"Achatocarpus_hasslerianus",NA
"Achyranthes_mangarevica",NA
"Achyranthes_marchionica","CR"
"Acmanthera_fernandesii",NA
"Acmanthera_minima",NA
"Acmopyle_sahniana","CR"
"Acokanthera_laevigata","VU"
"Acritopappus_subtomentosus","CR"
"Acrocomia_crispa",NA
"Acrocomia_media",NA
"Acronychia_carrii","EN"
"Acronychia_cartilaginea","DD"
"Acronychia_dimorphocalyx",NA
"Acronychia_goniocarpa",NA
"Acronychia_intermedia","DD"
"Acronychia_kaindiensis","EN"
"Acronychia_macrocalyx","DD"
"Acronychia_papuana",NA
"Acronychia_reticulata","EN"
"Acronychia_richards-beehleri","CR"
"Acronychia_schistacea","LC"
"Acronychia_smithii","DD"
"Acronychia_wabagensis","EN"
"Acropogon_domatifer","VU"
"Acropogon_francii","LC"
"Acropogon_grandiflorus","EN"
"Acropogon_jaffrei","EN"
"Acropogon_macrocarpus","LC"
"Acropogon_margaretae","EN"
"Acropogon_sageniifolia",NA
"Acropogon_schistophilus","LC"
"Acrosynanthus_parvifolius",NA
"Actephila_subsessilis",NA
"Actephila_trichogyna","EN"
"Actinodaphne_amabilis","EN"
"Actinodaphne_archboldiana","CR"
"Actinodaphne_diversifolia","LC"
"Actinodaphne_elegans",NA
"Actinodaphne_fragilis","EN"
"Actinodaphne_glabra","LC"
"Actinodaphne_glauca",NA
"Actinodaphne_glaucina",NA
"Actinodaphne_henryi","LC"
"Actinodaphne_hookeri","VU"
"Actinodaphne_kinabaluensis","NT"
"Actinodaphne_koshepangii","LC"
"Actinodaphne_kostermansii","NT"
"Actinodaphne_leiantha","DD"
"Actinodaphne_longipes",NA
"Actinodaphne_molochina","EN"
"Actinodaphne_montana","LC"
"Actinodaphne_paotingensis",NA
"Actinodaphne_percoriacea","VU"
"Actinodaphne_procera","LC"
"Actinodaphne_sesquipedalis","LC"
"Actinodaphne_setchuenensis","LC"
"Actinodaphne_sikkimensis",NA
"Actinodaphne_solomonensis","CR"
"Actinodaphne_speciosa",NA
"Actinodaphne_sphaerocarpa","NT"
"Actinodaphne_stenophylla",NA
"Actinodaphne_sulcata","VU"
"Actinodaphne_tayabensis","NT"
"Actinodaphne_tsaii",NA
"Actinodaphne_wightiana","LC"
"Actinokentia_huerlimannii","EN"
"Actinostemon_imbricatus",NA
"Acunaeanthus_tinifolius",NA
"Adenanthera_borneensis",NA
"Adenanthera_forbesii",NA
"Adenanthera_malayana",NA
"Adenia_karibaensis","LC"
"Adenopodia_rotundifolia","EN"
"Adesmia_viscosa","DD"
"Adina_dissimilis",NA
"Adinandra_anisobasis",NA
"Adinandra_borneensis",NA
"Adinandra_brefeldii",NA
"Adinandra_colombonensis","LC"
"Adinandra_dasyantha",NA
"Adinandra_epunctata",NA
"Adinandra_grandis",NA
"Adinandra_hainanensis",NA
"Adinandra_howii",NA
"Adinandra_impressa","VU"
"Adinandra_integerrima","LR/cd"
"Adinandra_lancipetala",NA
"Adinandra_lasiopetala",NA
"Adinandra_latifolia",NA
"Adinandra_loheri","EN"
"Adinandra_luzonica","NT"
"Adinandra_maculosa",NA
"Adinandra_magniflora",NA
"Adinandra_meratusensis",NA
"Adinandra_milletii",NA
"Adinandra_myrioneura",NA
"Adinandra_nigroglandulosa",NA
"Adinandra_nigropunctata","DD"
"Adinandra_nunkokensis","VU"
"Adinandra_oblonga",NA
"Adinandra_parvifolia","LR/cd"
"Adinandra_pingbianensis",NA
"Adinandra_quinquepartita","VU"
"Adinandra_ryukyuensis","LC"
"Adinandra_subsessilis",NA
"Adinandra_verrucosa","LC"
"Adinandra_villosa",NA
"Aegiphila_duckei","DD"
