"species","IUCNstatus"
"Abarema_ganymedea","Vulnerable"
"Abarema_racemiflora","NotThreatened"
"Abrahamia_latifolia","Vulnerable"
"Abrahamia_viguieri","NotThreatened"
"Acalypha_apodanthes","NotThreatened"
"Acer_rubescens","NotThreatened"
"Aceratium_sericoleopsis","NotEvaluated"
"Acronychia_ledermannii","NotThreatened"
"Acronychia_montana","NotThreatened"
"Actinodaphne_hypoleucophylla","NotThreatened"
"Actinodaphne_mushaensis","NotThreatened"
"Adelobotrys_antioquiensis","Vulnerable"
"Adinandra_lasiostyla","NotEvaluated"
"Aegiphila_alba","NotThreatened"
"Aegiphila_anomala","NotThreatened"
"Aegiphila_cephalophora","NotThreatened"
"Aegiphila_falcata","NotThreatened"
"Aegiphila_lehmannii","NotThreatened"
"Aegiphila_schimpffii","Threatened"
"Aegiphila_valerioi","NotThreatened"
"Aglaia_australiensis","Vulnerable"
"Agouticarpa_grandistipula","NotEvaluated"
"Aiouea_costaricensis","NotThreatened"
"Aiouea_guatemalensis","Vulnerable"
"Aiouea_obscura","Vulnerable"
"Aiouea_parvissima","Threatened"
"Aiphanes_chiribogensis","Vulnerable"
"Aiphanes_deltoidea","NotEvaluated"
"Aiphanes_erinacea","NotEvaluated"
"Aiphanes_macroloba","NotEvaluated"
"Aiphanes_tricuspidata","NotEvaluated"
"Aldina_insignis","NotEvaluated"
"Alfaroa_costaricensis","NotThreatened"
"Alfaroa_manningii","NotThreatened"
"Alibertia_atlantica","NotThreatened"
"Alibertia_utleyorum","NotEvaluated"
"Allamanda_weberbaueri","NotEvaluated"
"Allomaieta_hirsuta","Vulnerable"
"Allomaieta_pancurana","NotThreatened"
"Allomaieta_strigosa","NotThreatened"
"Alseis_costaricensis","NotThreatened"
"Amaioua_pedicellata","NotThreatened"
"Amphitecna_donnell-smithii","Threatened"
"Amphitecna_gentryi","Vulnerable"
"Amphitecna_kennedyae","NotThreatened"
"Amphitecna_sessilifolia","Vulnerable"
"Amyris_brenesii","NotThreatened"
"Amyris_magnifolia","Threatened"
"Amyris_rhomboidea","NotEvaluated"
"Anacardium_fruticosum","NotEvaluated"
"Anaxagorea_crassipetala","NotThreatened"
"Anaxagorea_phaeocarpa","NotThreatened"
"Andira_grandistipula","NotEvaluated"
"Angostura_granulosa","NotThreatened"
"Aniba_excelsa","Vulnerable"
"Aniba_heterotepala","Threatened"
"Annona_pachyantha","Vulnerable"
"Annona_pittieri","NotThreatened"
"Annona_rufinervis","Threatened"
"Anthodiscus_trifoliatus","NotEvaluated"
"Anthopterus_wardii","NotThreatened"
"Antidesma_chalaranthum","NotThreatened"
"Aphelandra_crispata","NotEvaluated"
"Apodytes_grandifolia","Threatened"
"Arachnothryx_aspera","NotThreatened"
"Arachnothryx_bertieroides","NotThreatened"
"Arachnothryx_brenesii","NotThreatened"
"Arachnothryx_calycosa","Vulnerable"
"Arachnothryx_chaconii","Threatened"
"Arachnothryx_costaricensis","NotThreatened"
"Arachnothryx_linguiformis","NotThreatened"
"Arachnothryx_monteverdensis","NotThreatened"
"Arachnothryx_povedae","Threatened"
"Arachnothryx_tayloriae","Threatened"
"Arachnothryx_torresii","NotThreatened"
"Aralia_castanopsiscola","NotEvaluated"
"Archidendron_whitei","NotEvaluated"
"Ardisia_auriculata","NotThreatened"
"Ardisia_awarum","NotEvaluated"
"Ardisia_blepharodes","Threatened"
"Ardisia_brenesii","Vulnerable"
"Ardisia_cabrerae","NotThreatened"
"Ardisia_calycosa","NotThreatened"
"Ardisia_cartagoana","Threatened"
"Ardisia_caudifera","NotEvaluated"
"Ardisia_colombiana","NotEvaluated"
"Ardisia_copeyana","NotThreatened"
"Ardisia_costaricensis","NotThreatened"
"Ardisia_crassiramea","Threatened"
"Ardisia_dwyeri","NotEvaluated"
"Ardisia_fimbrillifera","NotThreatened"
"Ardisia_furfuracea","Threatened"
"Ardisia_glandulosomarginata","NotThreatened"
"Ardisia_knappiae","NotEvaluated"
"Ardisia_liesneri","Threatened"
"Ardisia_maxonii","NotThreatened"
"Ardisia_opegrapha","NotThreatened"
"Ardisia_palmana","NotThreatened"
"Ardisia_pleurobotrya","Vulnerable"
"Ardisia_rosea","NotEvaluated"
"Ardisia_schippii","NotEvaluated"
"Ardisia_ursina","NotEvaluated"
"Ardisia_websteri","Vulnerable"
"Aspidosperma_thomasii","Threatened"
"Aspidostemon_glandulosus","Threatened"
"Aspidostemon_longipedicellatus","Threatened"
"Astrocaryum_alatum","NotThreatened"
"Astrocaryum_confertum","Threatened"
"Astrocaryum_macrocalyx","NotThreatened"
"Astrotrichilia_voamatata","Threatened"
"Atractocarpus_hirtus","NotThreatened"
"Attalea_septuagenata","NotThreatened"
"Axinaea_costaricensis","NotThreatened"
"Axinaea_nitida","NotThreatened"
"Bactris_caudata","NotThreatened"
"Bactris_coloniata","Vulnerable"
"Bactris_coloradonis","NotEvaluated"
"Bactris_dianeura","NotThreatened"
"Bactris_gracilior","NotThreatened"
"Bactris_herrerana","Threatened"
"Bactris_kunorum","DD"
"Bactris_longiseta","Threatened"
"Bactris_oligoclada","NotEvaluated"
"Bactris_polystachya","Vulnerable"
"Bactris_ptariana","NotEvaluated"
"Banara_riparia","Threatened"
"Barongia_lophandra","NotEvaluated"
"Bartholomaea_mollis","Threatened"
"Bartholomaea_sessiliflora","Threatened"
"Bauhinia_pichinchensis","Vulnerable"
"Bauhinia_rubeleruziana","NotEvaluated"
"Beilschmiedia_curviramea","Vulnerable"
"Beilschmiedia_immersinervis","Threatened"
"Beilschmiedia_oligandra","NotEvaluated"
"Beilschmiedia_ovalis","NotThreatened"
"Beilschmiedia_sary","Vulnerable"
"Beilschmiedia_tilaranensis","Threatened"
"Beilschmiedia_tooram","NotThreatened"
"Beilschmiedia_volckii","NotEvaluated"
"Bejaria_infundibula","NotEvaluated"
"Blakea_austin-smithii","NotEvaluated"
"Blakea_castanedae","NotThreatened"
"Blakea_chlorantha","NotEvaluated"
"Blakea_cuprina","NotThreatened"
"Blakea_glabrescens","NotEvaluated"
"Blakea_grandiflora","Vulnerable"
"Blakea_henripittieri","NotEvaluated"
"Blakea_inflata","NotEvaluated"
"Blakea_jativae","Threatened"
"Blakea_pauciflora","NotThreatened"
"Blakea_podagrica","NotEvaluated"
"Blakea_punctulata","NotEvaluated"
"Blakea_setosa","NotEvaluated"
"Blakea_storkii","NotThreatened"
"Blakea_subconnata","NotThreatened"
"Blakea_subscabrula","NotEvaluated"
