"species","IUCNstatus"
"Abrahamia_latifolia","Vulnerable"
"Abrahamia_lecomtei","Vulnerable"
"Abrahamia_sericea","NotThreatened"
"Abrahamia_viguieri","NotThreatened"
"Acacia_blayana","NotEvaluated"
"Acacia_caerulescens","NotEvaluated"
"Acacia_cangaiensis","Threatened"
"Acacia_clunies-rossiae","NotEvaluated"
"Acacia_covenyi","NotEvaluated"
"Acacia_dempsteri","NotThreatened"
"Acacia_georgensis","NotEvaluated"
"Acacia_mabellae","NotEvaluated"
"Acacia_matthewii","NotEvaluated"
"Acacia_pataczekii","NotEvaluated"
"Acacia_resinistipulea","NotThreatened"
"Acacia_saliciformis","NotEvaluated"
"Acacia_trachyphloia","NotEvaluated"
"Acacia_veronica","NotEvaluated"
"Acer_floridanum","NotThreatened"
"Acer_leucoderme","NotThreatened"
"Acridocarpus_plagiopterus","NotThreatened"
"Actephila_ovalis","NotThreatened"
"Actinodaphne_macrophylla","NotThreatened"
"Actinodaphne_pruinosa","NotThreatened"
"Adansonia_grandidieri","Threatened"
"Adelobotrys_antioquiensis","Vulnerable"
"Adenanthera_kostermansii","NotEvaluated"
"Adenanthera_mantaroa","NotThreatened"
"Adinandra_dumosa","NotThreatened"
"Aetoxylon_sympetalum","NotEvaluated"
"Afrotrewia_kamerunica","Threatened"
"Afzelia_parviflora","NotThreatened"
"Aganope_leucobotrya","NotThreatened"
"Agathis_borneensis","Threatened"
"Agathis_kinabaluensis","Threatened"
"Agelaea_borneensis","NotEvaluated"
"Agelaea_macrophylla","NotThreatened"
"Aglaia_angustifolia","Vulnerable"
"Aglaia_crassinervia","NotThreatened"
"Aglaia_exstipulata","NotThreatened"
"Aglaia_forbesii","NotThreatened"
"Aglaia_hiernii","NotThreatened"
"Aglaia_leptantha","NotThreatened"
"Aglaia_leucophylla","NotThreatened"
"Aglaia_macrocarpa","NotThreatened"
"Aglaia_odoratissima","NotThreatened"
"Aglaia_oligophylla","NotThreatened"
"Aglaia_rivularis","Vulnerable"
"Aidia_densiflora","NotEvaluated"
"Aiouea_guatemalensis","Vulnerable"
"Aiouea_parvissima","Threatened"
"Alangium_uniloculare","NotEvaluated"
"Albizia_splendens","NotEvaluated"
"Alchornea_parviflora","NotEvaluated"
"Aleisanthiopsis_distantiflora","NotEvaluated"
"Allanblackia_kimbiliensis","Threatened"
"Allantoma_kuhlmannii","Threatened"
"Allophylus_javensis","NotEvaluated"
"Allophylus_talbotii","NotEvaluated"
"Alphandia_verniciflua","NotEvaluated"
"Alphonsea_javanica","NotEvaluated"
"Alseis_hondurensis","NotEvaluated"
"Alseodaphne_bancana","NotThreatened"
"Alseodaphne_elmeri","Vulnerable"
"Alseodaphne_insignis","NotThreatened"
"Alseodaphne_peduncularis","NotThreatened"
"Alstonia_iwahigensis","NotEvaluated"
"Alstonia_pneumatophora","NotThreatened"
"Amanoa_bracteosa","NotThreatened"
"Amanoa_caribaea","NotEvaluated"
"Ambavia_gerrardii","NotThreatened"
"Amphitecna_donnell-smithii","Threatened"
"Amyrea_remotiflora","Threatened"
"Amyxa_pluricornis","NotEvaluated"
"Anacolosa_casearioides","NotThreatened"
"Anaxagorea_javanica","NotEvaluated"
"Androsiphonia_adenostegia","NotThreatened"
"Angostura_quinquefolia","Vulnerable"
"Anisophyllea_disticha","NotThreatened"
"Anisophyllea_fallax","NotThreatened"
"Anisophyllea_ferruginea","Vulnerable"
"Anthocleista_longifolia","Vulnerable"
"Anthocleista_nobilis","NotThreatened"
"Antidesma_coriaceum","NotEvaluated"
"Antidesma_cuspidatum","NotEvaluated"
"Antidesma_helferi","NotEvaluated"
"Antidesma_leucopodum","NotThreatened"
"Antidesma_neurocarpum","NotEvaluated"
"Antidesma_oblongum","NotThreatened"
