"Species","IUCNstatus"
"Abrahamia_latifolia","Vulnerable"
"Abrahamia_lecomtei","Vulnerable"
"Abrahamia_sericea","Not Threatened"
"Abrahamia_viguieri","Not Threatened"
"Acacia_blayana","Not Evaluated"
"Acacia_caerulescens","Not Evaluated"
"Acacia_cangaiensis","Threatened"
"Acacia_clunies-rossiae","Not Evaluated"
"Acacia_cognata","Not Threatened"
"Acacia_covenyi","Not Evaluated"
"Acacia_dempsteri","Not Threatened"
"Acacia_frigescens","Not Threatened"
"Acacia_georgensis","Not Evaluated"
"Acacia_mabellae","Not Evaluated"
"Acacia_matthewii","Not Evaluated"
"Acacia_pataczekii","Not Evaluated"
"Acacia_pentadenia","Not Threatened"
"Acacia_resinistipulea","Not Threatened"
"Acacia_saliciformis","Not Evaluated"
"Acacia_silvestris","Not Threatened"
"Acacia_trachyphloia","Not Evaluated"
"Acacia_veronica","Not Evaluated"
"Acer_floridanum","Not Threatened"
"Acer_leucoderme","Not Threatened"
"Acridocarpus_plagiopterus","Not Threatened"
"Actephila_ovalis","Not Threatened"
"Actinodaphne_macrophylla","Not Threatened"
"Actinodaphne_pruinosa","Not Threatened"
"Adansonia_grandidieri","Threatened"
"Adelobotrys_antioquiensis","Vulnerable"
"Adenanthera_kostermansii","Not Evaluated"
"Adinandra_cordifolia","Not Evaluated"
"Adinandra_dumosa","Not Threatened"
"Aetoxylon_sympetalum","Not Evaluated"
"Afrotrewia_kamerunica","Threatened"
"Afzelia_parviflora","Not Threatened"
"Aganope_leucobotrya","Not Threatened"
"Agathis_borneensis","Threatened"
"Agathis_kinabaluensis","Threatened"
"Agelaea_borneensis","Not Evaluated"
"Agelaea_macrophylla","Not Threatened"
"Aglaia_angustifolia","Vulnerable"
"Aglaia_crassinervia","Not Threatened"
"Aglaia_exstipulata","Not Threatened"
"Aglaia_forbesii","Not Threatened"
"Aglaia_hiernii","Not Threatened"
"Aglaia_leptantha","Not Threatened"
"Aglaia_macrocarpa","Not Threatened"
"Aglaia_odoratissima","Not Threatened"
"Aglaia_oligophylla","Not Threatened"
"Aglaia_rivularis","Vulnerable"
"Agrostistachys_borneensis","Not Threatened"
"Aidia_densiflora","Not Evaluated"
"Aiouea_guatemalensis","Vulnerable"
"Aiouea_parvissima","Threatened"
"Alangium_uniloculare","Not Evaluated"
"Albizia_splendens","Not Evaluated"
"Alchornea_parviflora","Not Evaluated"
"Aleisanthiopsis_distantiflora","Not Evaluated"
"Allantoma_kuhlmannii","Threatened"
"Allophylus_javensis","Not Evaluated"
"Allophylus_talbotii","Not Evaluated"
"Alphandia_verniciflua","Not Evaluated"
"Alphonsea_javanica","Not Evaluated"
"Alseodaphne_bancana","Not Threatened"
"Alseodaphne_elmeri","Vulnerable"
"Alseodaphne_insignis","Not Threatened"
"Alseodaphne_peduncularis","Not Threatened"
"Alstonia_angustifolia","Not Threatened"
"Alstonia_iwahigensis","Not Evaluated"
"Alstonia_pneumatophora","Not Threatened"
"Amanoa_bracteosa","Not Threatened"
"Amanoa_caribaea","Not Evaluated"
"Ambavia_gerrardii","Not Threatened"
"Amphitecna_donnell-smithii","Threatened"
"Amyrea_remotiflora","Threatened"
"Amyxa_pluricornis","Not Evaluated"
"Anacolosa_casearioides","Not Threatened"
"Anaxagorea_javanica","Not Evaluated"
"Androsiphonia_adenostegia","Not Threatened"
"Angostura_quinquefolia","Vulnerable"
"Anisophyllea_disticha","Not Threatened"
"Anisophyllea_ferruginea","Vulnerable"
"Annickia_lebrunii","Vulnerable"
"Anthocleista_longifolia","Vulnerable"
"Anthocleista_nobilis","Not Threatened"
"Antidesma_coriaceum","Not Evaluated"
"Antidesma_cuspidatum","Not Evaluated"
"Antidesma_helferi","Not Evaluated"
