"Species","IUCNstatus"
"Abarema_ganymedea","Vulnerable"
"Acacia_chrysotricha","Threatened"
"Acacia_courtii","Not Evaluated"
"Acacia_solenota","Not Evaluated"
"Acaciella_glauca","Not Evaluated"
"Acalypha_apodanthes","Not Threatened"
"Acanthosyris_paulo-alvinii","Not Evaluated"
"Acer_confertifolium","Vulnerable"
"Achatocarpus_oaxacanus","Threatened"
"Acritopappus_connatifolius","Not Evaluated"
"Adelobotrys_antioquiensis","Vulnerable"
"Adinandra_yaeyamensis","Not Threatened"
"Aegiphila_moldenkeana","Not Threatened"
"Aegiphila_schimpffii","Threatened"
"Aegiphila_vallensis","Not Evaluated"
"Aetoxylon_sympetalum","Not Evaluated"
"Afrocanthium_shabanii","Threatened"
"Afrostyrax_kamerunensis","Not Threatened"
"Afrotrewia_kamerunica","Threatened"
"Afzelia_parviflora","Not Threatened"
"Aganope_impressa","Not Evaluated"
"Ageratina_macbridei","Not Threatened"
"Aglaia_cooperae","Not Evaluated"
"Aidia_rhacodosepala","Not Evaluated"
"Aiouea_guatemalensis","Vulnerable"
"Aiouea_obscura","Vulnerable"
"Aiphanes_chiribogensis","Vulnerable"
"Aiphanes_duquei","Vulnerable"
"Aiphanes_grandis","Threatened"
"Aiphanes_macroloba","Not Evaluated"
"Albizia_xerophytica","Threatened"
"Alchornea_lojaensis","Not Evaluated"
"Alchornea_tachirensis","Not Evaluated"
"Alchornea_websteri","Not Evaluated"
"Aldina_insignis","Not Evaluated"
"Alectryon_repandodentatus","Not Threatened"
"Aleisanthiopsis_distantiflora","Not Evaluated"
"Alibertia_dwyeri","Not Threatened"
"Allanblackia_gabonensis","Vulnerable"
"Allanblackia_kimbiliensis","Threatened"
"Allantoma_kuhlmannii","Threatened"
"Allexis_obanensis","Threatened"
"Allophylus_dodsonii","Threatened"
"Allophylus_dummeri","Not Evaluated"
"Allophylus_gentryi","Not Threatened"
"Allophylus_grandifolius","Not Threatened"
"Allophylus_hallaei","Not Evaluated"
"Allophylus_hirtellus","Not Evaluated"
"Allophylus_megaphyllus","Not Evaluated"
"Allophylus_poungouensis","Vulnerable"
"Aloe_helenae","Threatened"
"Alphandia_verniciflua","Not Evaluated"
"Alseis_mutisii","Not Evaluated"
"Alseodaphne_insignis","Not Threatened"
"Alseodaphne_peduncularis","Not Threatened"
"Alstonia_iwahigensis","Not Evaluated"
"Amaioua_brevidentata","Not Evaluated"
"Amaioua_magnicarpa","Not Evaluated"
"Amolinia_heydeana","Threatened"
"Amphitecna_molinae","Threatened"
"Anaxagorea_allenii","Not Threatened"
"Andira_grandistipula","Not Evaluated"
"Angostura_quinquefolia","Vulnerable"
"Angylocalyx_talbotii","Not Threatened"
"Aniba_excelsa","Vulnerable"
"Aniba_lancifolia","Not Evaluated"
"Aniba_robusta","Not Threatened"
"Aniba_santalodora","Vulnerable"
"Anisophyllea_obtusifolia","Not Evaluated"
"Anisophyllea_polyneura","Not Threatened"
"Anisophyllea_purpurascens","Not Threatened"
"Annona_hayesii","Not Threatened"
"Annona_inconformis","Not Evaluated"
"Annona_manabiensis","Threatened"
"Annona_punicifolia","Threatened"
"Annona_sclerophylla","Not Evaluated"
"Annona_spraguei","Vulnerable"
"Anonidium_floribundum","Not Threatened"
"Antheroporum_pierrei","Not Evaluated"
"Anthocleista_microphylla","Vulnerable"
"Anthocleista_obanensis","Not Evaluated"
"Anthocleista_scandens","Vulnerable"
"Anthonotha_brieyi","Not Threatened"
"Anthonotha_ferruginea","Not Threatened"
"Anthonotha_lamprophylla","Not Threatened"
"Antidesma_helferi","Not Evaluated"
"Antrocaryon_klaineanum","Not Threatened"
"Antrocaryon_schorkopfii","Not Evaluated"
"Aphanocalyx_hedinii","Not Evaluated"
"Aphanocalyx_margininervatus","Not Threatened"
"Aphanocalyx_pteridophyllus","Not Evaluated"
"Apodiscus_chevalieri","Threatened"
"Apodytes_geldenhuysii","Not Evaluated"
"Aporosa_nigricans","Not Evaluated"
"Aporosa_serrata","Not Evaluated"
"Aporrhiza_lastoursvillensis","Threatened"
"Appunia_aurantiaca","Not Evaluated"
"Appunia_debilis","Not Evaluated"
"Arachnothryx_aspera","Not Threatened"
"Arachnothryx_dwyeri","Not Threatened"
"Arachnothryx_monteverdensis","Not Threatened"
"Arachnothryx_perezii","Not Evaluated"
"Arachnothryx_wendtii","Threatened"
"Arapatiella_emarginata","Not Threatened"
"Archidendron_bubalinum","Not Evaluated"
"Archidendron_syringifolium","Vulnerable"
"Ardisia_bartletii","Not Threatened"
"Ardisia_brevis","Not Evaluated"
"Ardisia_calycosa","Not Threatened"
"Ardisia_cardenasii","Not Threatened"
"Ardisia_crassiramea","Threatened"
"Ardisia_darienensis","Vulnerable"
"Ardisia_dwyeri","Not Evaluated"
"Ardisia_glomerata","Threatened"
"Ardisia_gordonii","Not Evaluated"
"Ardisia_knappiae","Not Evaluated"
"Ardisia_mcphersonii","Not Threatened"
"Ardisia_ototomoensis","Not Evaluated"
"Ardisia_pseudocuspidata","Not Evaluated"
"Ardisia_unguiensis","Not Evaluated"
"Ardisia_ursina","Not Evaluated"
"Ardisia_vatteri","DD"
"Ardisia_websteri","Vulnerable"
"Arytera_miniata","Threatened"
"Ashtonia_excelsa","Not Evaluated"
"Aspalathus_capitata","Not Evaluated"
"Aspidostemon_conoideus","Threatened"
"Aspidostemon_parvifolius","Threatened"
"Asteropeia_mcphersonii","Vulnerable"
"Astrocaryum_confertum","Threatened"
"Astrotricha_pauciflora","Not Evaluated"
"Atalaya_papuana","Not Threatened"
"Attalea_allenii","Not Evaluated"
"Atuna_nannodes","Not Evaluated"
"Atuna_penangiana","Vulnerable"
"Aubletiana_leptostachys","Not Evaluated"
"Aubletiana_macrostachys","Not Threatened"
"Augouardia_letestui","Not Evaluated"
"Aulacocalyx_caudata","Not Threatened"
"Aulacocalyx_divergens","Vulnerable"
"Aulacocalyx_mapiana","Vulnerable"
"Aulacocalyx_talbotii","Not Evaluated"
"Axinaea_pauciflora","Vulnerable"
"Baccaurea_reticulata","Not Evaluated"
"Bactris_barronis","Not Evaluated"
"Bactris_kunorum","DD"
"Bactris_oligoclada","Not Evaluated"
"Bactris_polystachya","Vulnerable"
"Balsamocitrus_dawei","Threatened"
"Banara_boliviana","Not Evaluated"
"Banara_regia","Threatened"
"Banara_riparia","Threatened"
"Baphia_buettneri","Not Threatened"
"Baphia_leptobotrys","Not Threatened"
"Baphia_leptostemma","Not Threatened"
"Baphia_obanensis","Threatened"
"Baphia_pauloi","Threatened"
"Baphia_spathacea","Threatened"
"Barongia_lophandra","Not Evaluated"
"Barringtonia_havilandii","Not Evaluated"
"Barteria_solida","Not Threatened"
"Bartholomaea_mollis","Threatened"
"Baudouinia_louvelii","Threatened"
"Bauhinia_pichinchensis","Vulnerable"
"Bauhinia_tuichiensis","Not Evaluated"
"Beilschmiedia_acuta","Not Evaluated"
"Beilschmiedia_anacardioides","Vulnerable"
"Beilschmiedia_corbisieri","Threatened"
"Beilschmiedia_cryptocaryoides","DD"
"Beilschmiedia_gaboonensis","Not Threatened"
"Beilschmiedia_grandifolia","Vulnerable"
"Beilschmiedia_klainei","Vulnerable"
"Beilschmiedia_manantlanensis","Threatened"
"Beilschmiedia_minutiflora","Not Threatened"
"Beilschmiedia_rugosa","Threatened"
"Bellucia_nigricans","Vulnerable"
"Belonophora_ongensis","Threatened"
"Belonophora_wernhamii","Not Evaluated"
"Benstonea_affinis","Not Evaluated"
"Benstonea_parva","Not Evaluated"
"Berlinia_auriculata","Not Threatened"
"Bernardia_fonsecae","Threatened"
"Bertiera_globiceps","Not Threatened"
"Bertiera_retrofracta","Not Evaluated"
"Bikinia_durandii","Not Threatened"
"Bikinia_grisea","Not Threatened"
"Bikinia_pellegrinii","Not Threatened"
"Blakea_chlorantha","Not Evaluated"
"Blakea_hammelii","Not Evaluated"
"Blakea_inflata","Not Evaluated"
"Blakea_jativae","Threatened"
"Blakea_latifolia","Not Evaluated"
"Blakea_longipes","Vulnerable"
"Blepharidium_guatemalense","Not Threatened"
"Bonellia_montana","Threatened"
"Bonnetia_jauaensis","Vulnerable"
"Bonnetia_rubicunda","Vulnerable"
"Bonnetia_wurdackii","Not Threatened"
"Botryophora_geniculata","Not Evaluated"
"Bouea_macrophylla","Not Evaluated"
"Bourreria_grandicalyx","Threatened"
"Boutiquea_platypetala","Vulnerable"
"Brachycylix_vageleri","Not Threatened"
"Brachyglottis_pentacopa","Vulnerable"
"Brachystegia_cynometroides","Not Threatened"
"Brachystegia_mildbraedii","Not Threatened"
"Brassaiopsis_grushvitzkyi","Not Evaluated"
"Breonia_louvelii","Threatened"
"Brownea_birschellii","Not Evaluated"
"Brownlowia_peltata","Not Evaluated"
"Brunellia_macrophylla","Threatened"
"Brunellia_pitayensis","Not Threatened"
"Brunellia_putumayensis","Not Threatened"
"Brunfelsia_dwyeri","Vulnerable"
"Bullockia_impressinervia","Threatened"
"Bunchosia_volcanica","Not Evaluated"
"Burretiodendron_siamense","Not Evaluated"
"Bursera_glabra","Not Threatened"
"Bursera_lunanii","Not Threatened"
"Byrsonima_chalcophylla","Not Threatened"
"Byrsonima_euryphylla","DD"
"Byrsonima_gymnocalycina","Not Evaluated"
"Byrsonima_homeieri","Not Evaluated"
"Byrsonima_incarnata","Not Evaluated"
"Byrsonima_nemoralis","Not Threatened"
"Byrsonima_pachypoda","Not Threatened"
"Byrsonima_rubrobracteata","Not Threatened"
"Calanthea_pulcherrima","Not Evaluated"
"Calliandra_chulumania","Not Evaluated"
"Calocedrus_rupestris","Threatened"
"Caloncoba_lophocarpa","Not Evaluated"
"Calophyllum_balansae","Not Evaluated"
"Calophyllum_nubicola","Vulnerable"
"Calophyllum_tetrapterum","Not Threatened"
"Calophyllum_teysmannii","Not Evaluated"
"Calpocalyx_cauliflorus","Vulnerable"
"Calpocalyx_dinklagei","Not Threatened"
"Calpocalyx_winkleri","Not Evaluated"
"Calycolpus_cochleatus","Not Evaluated"
"Calycophyllum_spectabile","Not Evaluated"
"Calyptrogyne_costatifrons","Not Threatened"
"Calyptronoma_occidentalis","Not Evaluated"
"Campylospermum_dusenii","Not Evaluated"
"Campylospermum_letouzeyi","Vulnerable"
"Campylospermum_mannii","Not Evaluated"
"Canarium_macadamii","Threatened"
"Canarium_patentinervium","Not Threatened"
"Capparidastrum_megalospermum","Not Evaluated"
"Capurodendron_delphinense","Threatened"
"Carallia_eugenioidea","Not Evaluated"
"Carapa_batesii","Not Evaluated"
"Carapa_dinklagei","Not Evaluated"
"Carapa_hygrophila","Not Evaluated"
"Carapa_megistocarpa","Threatened"
"Carapa_parviflora","Not Threatened"
"Carapichea_tillettii","Not Evaluated"
"Carica_crassipetala","Not Evaluated"
"Cariniana_parvifolia","Not Evaluated"
"Carpolobia_gossweileri","Not Evaluated"
"Caryodaphnopsis_cogolloi","Threatened"
"Caryodaphnopsis_theobromifolia","Not Threatened"
"Casearia_bartlettii","Not Evaluated"
"Cassipourea_killipii","Not Evaluated"
"Cassipourea_lasiocalyx","Not Evaluated"
