"species","IUCNstatus"
"Abarema_ganymedea","Vulnerable"
"Acacia_chrysotricha","Threatened"
"Acacia_solenota","NotEvaluated"
"Acaciella_glauca","NotEvaluated"
"Acalypha_apodanthes","NotThreatened"
"Acanthosyris_paulo-alvinii","NotEvaluated"
"Acer_confertifolium","Vulnerable"
"Achatocarpus_oaxacanus","Threatened"
"Acritopappus_connatifolius","NotEvaluated"
"Adelobotrys_antioquiensis","Vulnerable"
"Adinandra_yaeyamensis","NotThreatened"
"Aegiphila_moldenkeana","NotThreatened"
"Aegiphila_schimpffii","Threatened"
"Aegiphila_vallensis","NotEvaluated"
"Aequatorium_cajamarcense","NotEvaluated"
"Aetoxylon_sympetalum","NotEvaluated"
"Afrocanthium_shabanii","Threatened"
"Afrotrewia_kamerunica","Threatened"
"Ageratina_macbridei","NotThreatened"
"Aglaia_cooperae","NotEvaluated"
"Aidia_rhacodosepala","NotEvaluated"
"Aiouea_guatemalensis","Vulnerable"
"Aiouea_obscura","Vulnerable"
"Aiphanes_chiribogensis","Vulnerable"
"Aiphanes_duquei","Vulnerable"
"Aiphanes_grandis","Threatened"
"Albizia_xerophytica","Threatened"
"Alchornea_lojaensis","NotEvaluated"
"Alchornea_tachirensis","NotEvaluated"
"Alchornea_websteri","NotEvaluated"
"Aldina_insignis","NotEvaluated"
"Alectryon_repandodentatus","NotThreatened"
"Aleisanthiopsis_distantiflora","NotEvaluated"
"Alibertia_dwyeri","NotThreatened"
"Alibertia_utleyorum","NotEvaluated"
"Allanblackia_gabonensis","Vulnerable"
"Allanblackia_kimbiliensis","Threatened"
"Allantoma_kuhlmannii","Threatened"
"Allexis_obanensis","Threatened"
"Allophylus_dodsonii","Threatened"
"Allophylus_dummeri","NotEvaluated"
"Allophylus_gentryi","NotThreatened"
"Allophylus_grandifolius","NotThreatened"
"Allophylus_hallaei","NotEvaluated"
"Allophylus_hirtellus","NotEvaluated"
"Allophylus_megaphyllus","NotEvaluated"
"Allophylus_poungouensis","Vulnerable"
"Alseis_blackiana","NotThreatened"
"Alseis_costaricensis","NotThreatened"
"Alseis_mutisii","NotEvaluated"
"Alseodaphne_insignis","NotThreatened"
"Alseodaphne_peduncularis","NotThreatened"
"Amaioua_brevidentata","NotEvaluated"
"Amolinia_heydeana","Threatened"
"Amphitecna_molinae","Threatened"
"Anacardium_fruticosum","NotEvaluated"
"Anaxagorea_allenii","NotThreatened"
"Anaxagorea_phaeocarpa","NotThreatened"
"Andira_grandistipula","NotEvaluated"
"Angostura_quinquefolia","Vulnerable"
"Angylocalyx_talbotii","NotThreatened"
"Aniba_excelsa","Vulnerable"
"Aniba_lancifolia","NotEvaluated"
"Aniba_robusta","NotThreatened"
"Aniba_santalodora","Vulnerable"
"Anisophyllea_polyneura","NotThreatened"
"Annona_fendleri","NotThreatened"
"Annona_hayesii","NotThreatened"
"Annona_manabiensis","Threatened"
"Annona_punicifolia","Threatened"
"Annona_sclerophylla","NotEvaluated"
"Annona_spraguei","Vulnerable"
"Anonidium_floribundum","NotThreatened"
"Antheroporum_pierrei","NotEvaluated"
"Anthocleista_microphylla","Vulnerable"
"Anthocleista_obanensis","NotEvaluated"
"Anthocleista_scandens","Vulnerable"
"Anthonotha_brieyi","NotThreatened"
"Anthonotha_ferruginea","NotThreatened"
"Anthonotha_lamprophylla","NotThreatened"
"Antrocaryon_klaineanum","NotThreatened"
"Antrocaryon_schorkopfii","NotEvaluated"
"Aphanocalyx_hedinii","NotEvaluated"
"Aphanocalyx_margininervatus","NotThreatened"
"Aphanocalyx_pteridophyllus","NotEvaluated"
"Aphelandra_hartwegiana","NotThreatened"
"Apodiscus_chevalieri","Threatened"
"Apodytes_geldenhuysii","NotEvaluated"
"Apoplanesia_cryptopetala","NotThreatened"
"Aporosa_nigricans","NotEvaluated"
"Aporosa_serrata","NotEvaluated"
"Aporrhiza_lastoursvillensis","Threatened"
"Appunia_aurantiaca","NotEvaluated"
"Appunia_debilis","NotEvaluated"
"Arachnothryx_aspera","NotThreatened"
"Arachnothryx_brenesii","NotThreatened"
"Arachnothryx_dwyeri","NotThreatened"
"Arachnothryx_perezii","NotEvaluated"
"Arachnothryx_wendtii","Threatened"
"Arapatiella_emarginata","NotThreatened"
"Archidendron_bubalinum","NotEvaluated"
"Archidendron_syringifolium","Vulnerable"
"Ardisia_awarum","NotEvaluated"
"Ardisia_bartletii","NotThreatened"
"Ardisia_brevis","NotEvaluated"
"Ardisia_calycosa","NotThreatened"
"Ardisia_capuronii","Threatened"
"Ardisia_cardenasii","NotThreatened"
"Ardisia_darienensis","Vulnerable"
"Ardisia_dwyeri","NotEvaluated"
"Ardisia_glomerata","Threatened"
"Ardisia_gordonii","NotEvaluated"
"Ardisia_hagenii","DD"
"Ardisia_knappiae","NotEvaluated"
"Ardisia_mcphersonii","NotThreatened"
"Ardisia_ototomoensis","NotEvaluated"
"Ardisia_pseudocuspidata","NotEvaluated"
"Ardisia_unguiensis","NotEvaluated"
"Ardisia_ursina","NotEvaluated"
"Ardisia_vatteri","DD"
"Arytera_miniata","Threatened"
"Aspalathus_capitata","NotEvaluated"
"Aspidosperma_quirandy","NotEvaluated"
"Aspidostemon_conoideus","Threatened"
"Aspidostemon_parvifolius","Threatened"
"Asteropeia_mcphersonii","Vulnerable"
"Astrocaryum_confertum","Threatened"
"Astrotricha_pauciflora","NotEvaluated"
"Atalaya_papuana","NotThreatened"
"Ateleia_chicoasensis","Threatened"
"Attalea_allenii","NotEvaluated"
"Atuna_nannodes","NotEvaluated"
"Atuna_penangiana","Vulnerable"
"Aubletiana_leptostachys","NotEvaluated"
"Aubletiana_macrostachys","NotThreatened"
"Augouardia_letestui","NotEvaluated"
"Aulacocalyx_caudata","NotThreatened"
"Aulacocalyx_divergens","Vulnerable"
"Aulacocalyx_mapiana","Vulnerable"
"Aulacocalyx_talbotii","NotEvaluated"
"Axinaea_nitida","NotThreatened"
"Axinaea_pauciflora","Vulnerable"
"Bactris_barronis","NotEvaluated"
"Bactris_kunorum","DD"
"Bactris_longiseta","Threatened"
"Bactris_oligoclada","NotEvaluated"
"Bactris_polystachya","Vulnerable"
"Bactris_ptariana","NotEvaluated"
"Balsamocitrus_dawei","Threatened"
"Banara_boliviana","NotEvaluated"
"Banara_regia","Threatened"
"Banara_riparia","Threatened"
"Baphia_buettneri","NotThreatened"
"Baphia_leptobotrys","NotThreatened"
"Baphia_obanensis","Threatened"
"Baphia_pauloi","Threatened"
"Baphia_spathacea","Threatened"
"Barongia_lophandra","NotEvaluated"
"Barringtonia_havilandii","NotEvaluated"
"Barteria_solida","NotThreatened"
"Bartholomaea_mollis","Threatened"
"Bathysa_pittieri","NotThreatened"
"Bauhinia_pichinchensis","Vulnerable"
"Bauhinia_tuichiensis","NotEvaluated"
"Beilschmiedia_acuta","NotEvaluated"
"Beilschmiedia_anacardioides","Vulnerable"
"Beilschmiedia_corbisieri","Threatened"
"Beilschmiedia_cryptocaryoides","DD"
"Beilschmiedia_curviramea","Vulnerable"
"Beilschmiedia_gaboonensis","NotThreatened"
"Beilschmiedia_grandifolia","Vulnerable"
"Beilschmiedia_klainei","Vulnerable"
"Beilschmiedia_manantlanensis","Threatened"
"Beilschmiedia_minutiflora","NotThreatened"
"Bellucia_nigricans","Vulnerable"
"Belonophora_ongensis","Threatened"
"Belonophora_wernhamii","NotEvaluated"
"Benoistia_sambiranensis","Threatened"
"Benstonea_affinis","NotEvaluated"
"Benstonea_parva","NotEvaluated"
"Bernardia_fonsecae","Threatened"
"Bertiera_globiceps","NotThreatened"
"Bertiera_retrofracta","NotEvaluated"
"Bikinia_durandii","NotThreatened"
"Bikinia_grisea","NotThreatened"
"Bikinia_pellegrinii","NotThreatened"
"Blakea_chlorantha","NotEvaluated"
"Blakea_inflata","NotEvaluated"
"Blakea_jativae","Threatened"
"Blakea_latifolia","NotEvaluated"
"Blakea_longipes","Vulnerable"
"Blepharidium_guatemalense","NotThreatened"
"Bonellia_montana","Threatened"
"Bonnetia_jauaensis","Vulnerable"
"Bonnetia_rubicunda","Vulnerable"
"Bonnetia_wurdackii","NotThreatened"
"Bouea_macrophylla","NotEvaluated"
"Bourreria_grandicalyx","Threatened"
"Boutiquea_platypetala","Vulnerable"
"Brachycylix_vageleri","NotThreatened"
"Brachyglottis_pentacopa","Vulnerable"
"Brachystegia_cynometroides","NotThreatened"
"Brassaiopsis_grushvitzkyi","NotEvaluated"
"Breonia_louvelii","Threatened"
"Brownea_birschellii","NotEvaluated"
"Brunellia_macrophylla","Threatened"
"Brunellia_pitayensis","NotThreatened"
"Brunellia_putumayensis","NotThreatened"
"Brunfelsia_dwyeri","Vulnerable"
"Bullockia_impressinervia","Threatened"
"Bunchosia_volcanica","NotEvaluated"
"Burretiodendron_siamense","NotEvaluated"
"Bursera_glabra","NotThreatened"
"Byrsonima_chalcophylla","NotThreatened"
"Byrsonima_euryphylla","DD"
"Byrsonima_gymnocalycina","NotEvaluated"
"Byrsonima_incarnata","NotEvaluated"
"Byrsonima_karstenii","NotThreatened"
"Byrsonima_nemoralis","NotThreatened"
"Byrsonima_pachypoda","NotThreatened"
"Byrsonima_rubrobracteata","NotThreatened"
"Calanthea_pulcherrima","NotEvaluated"
"Calocedrus_rupestris","Threatened"
"Caloncoba_lophocarpa","NotEvaluated"
"Calophyllum_balansae","NotEvaluated"
"Calophyllum_nubicola","Vulnerable"
"Calophyllum_teysmannii","NotEvaluated"
"Calpocalyx_cauliflorus","Vulnerable"
"Calpocalyx_dinklagei","NotThreatened"
"Calpocalyx_winkleri","NotEvaluated"
"Calycolpus_cochleatus","NotEvaluated"
"Calycophyllum_spectabile","NotEvaluated"
"Calyptrogyne_costatifrons","NotThreatened"
"Calyptronoma_occidentalis","NotEvaluated"
"Campylospermum_dusenii","NotEvaluated"
"Campylospermum_letouzeyi","Vulnerable"
"Campylospermum_mannii","NotEvaluated"
"Canarium_macadamii","Threatened"
"Canarium_patentinervium","NotThreatened"
"Capparidastrum_megalospermum","NotEvaluated"
"Capurodendron_delphinense","Threatened"
"Carallia_eugenioidea","NotEvaluated"
"Carapa_alticola","NotEvaluated"
"Carapa_angustifolia","NotEvaluated"
"Carapa_batesii","NotEvaluated"
"Carapa_dinklagei","NotEvaluated"
"Carapa_hygrophila","NotEvaluated"
"Carapa_megistocarpa","Threatened"
"Carapa_parviflora","NotThreatened"
"Carapichea_tillettii","NotEvaluated"
"Cariniana_parvifolia","NotEvaluated"
"Carpolobia_gossweileri","NotEvaluated"
"Caryodaphnopsis_cogolloi","Threatened"
"Caryodaphnopsis_theobromifolia","NotThreatened"
"Casearia_bartlettii","NotEvaluated"
"Cassine_kamerunensis","NotEvaluated"
"Cassipourea_lasiocalyx","NotEvaluated"
"Cassipourea_zenkeri","NotEvaluated"
"Castanopsis_curtisii","NotThreatened"
"Castanopsis_evansii","NotEvaluated"
"Castanopsis_hainanensis","NotEvaluated"
"Castanopsis_lucida","NotEvaluated"
"Castanopsis_rhamnifolia","NotEvaluated"
"Castanopsis_schefferiana","NotEvaluated"
