"species","IUCNstatus"
"Abies_chensiensis","NotThreatened"
"Abies_cilicica","NotThreatened"
"Abies_fabri","Vulnerable"
"Abies_fargesii","NotThreatened"
"Abies_pindrow","NotThreatened"
"Acacia_confusa","NotThreatened"
"Acacia_pedleyi","NotEvaluated"
"Acalypha_lyonsii","NotEvaluated"
"Acer_amplum","NotThreatened"
"Acer_buergerianum","NotThreatened"
"Acer_campbellii","NotThreatened"
"Acer_cappadocicum","NotThreatened"
"Acer_confertifolium","Vulnerable"
"Acer_cordatum","NotThreatened"
"Acer_crassum","Vulnerable"
"Acer_davidii","NotThreatened"
"Acer_erianthum","NotThreatened"
"Acer_fabri","NotThreatened"
"Acer_griseum","Threatened"
"Acer_henryi","NotThreatened"
"Acer_laevigatum","NotThreatened"
"Acer_leipoense","Threatened"
"Acer_longipes","NotThreatened"
"Acer_oblongum","NotThreatened"
"Acer_obtusifolium","NotThreatened"
"Acer_oliverianum","NotThreatened"
"Acer_paxii","NotThreatened"
"Acer_pectinatum","NotThreatened"
"Acer_pilosum","DD"
"Acer_sikkimense","NotThreatened"
"Acer_stachyophyllum","NotThreatened"
"Acer_sterculiaceum","NotThreatened"
"Acer_tenellum","Threatened"
"Acer_truncatum","NotThreatened"
"Acer_tutcheri","NotThreatened"
"Aceratium_sinuatum","Threatened"
"Actephila_merrilliana","NotThreatened"
"Actinodaphne_cupularis","NotThreatened"
"Actinodaphne_forrestii","NotThreatened"
"Actinodaphne_lecomtei","NotThreatened"
"Actinodaphne_omeiensis","NotThreatened"
"Actinodaphne_pilosa","NotThreatened"
"Actinodaphne_trichocarpa","NotThreatened"
"Adina_pilulifera","NotThreatened"
"Adinandra_bockiana","NotEvaluated"
"Adinandra_glischroloma","NotEvaluated"
"Aegiphila_pennellii","Vulnerable"
"Aegiphila_rimbachii","Threatened"
"Aesculus_chinensis","NotEvaluated"
"Aesculus_wangii","Vulnerable"
"Afrocanthium_keniense","Vulnerable"
"Aglaia_odorata","NotThreatened"
"Aidia_canthioides","NotThreatened"
"Aidia_cochinchinensis","NotThreatened"
"Aidia_henryi","NotEvaluated"
"Aidia_oxyodonta","NotEvaluated"
"Aidia_pycnantha","NotThreatened"
"Ailanthus_triphysa","NotEvaluated"
"Alangium_barbatum","NotThreatened"
"Alangium_kurzii","NotThreatened"
"Alangium_platanifolium","NotThreatened"
"Albizia_kalkora","NotEvaluated"
"Albizia_morombensis","Threatened"
"Alniphyllum_fortunei","NotThreatened"
"Alnus_cremastogyne","NotThreatened"
"Alnus_ferdinandi-coburgii","NotThreatened"
"Alnus_trabeculosa","NotThreatened"
"Alseodaphne_semecarpifolia","NotThreatened"
"Amelanchier_asiatica","NotEvaluated"
"Amelanchier_sinica","NotThreatened"
"Amentotaxus_argotaenia","NotThreatened"
"Amentotaxus_formosana","Vulnerable"
"Ampelocera_albertiae","Threatened"
"Aniba_santalodora","Vulnerable"
"Annona_hayesii","NotThreatened"
"Antidesma_hainanense","NotEvaluated"
"Antidesma_japonicum","NotThreatened"
"Antidesma_maclurei","NotEvaluated"
"Antirhea_chinensis","NotThreatened"
"Apodytes_geldenhuysii","NotEvaluated"
"Aquilaria_sinensis","Vulnerable"
"Arachnothryx_tacanensis","Threatened"
"Aralia_chinensis","Vulnerable"
"Aralia_dasyphylla","NotThreatened"
"Aralia_echinocaulis","NotThreatened"
"Aralia_elata","NotThreatened"
"Aralia_finlaysoniana","NotEvaluated"
"Aralia_stipulata","NotEvaluated"
"Aralia_tomentella","NotEvaluated"
"Aralia_undulata","NotEvaluated"
"Aralia_vietnamensis","NotEvaluated"
"Aralia_wilsonii","NotEvaluated"
"Araucaria_nemorosa","Threatened"
"Arbutus_andrachne","NotThreatened"
"Archidendron_chevalieri","NotEvaluated"
"Archidendron_lucidum","NotThreatened"
"Archidendron_ptenopum","NotThreatened"
"Archidendron_robinsonii","NotEvaluated"
"Archidendron_utile","NotEvaluated"
"Ardisia_densilepidotula","NotThreatened"
"Ardisia_jefeana","Vulnerable"
"Ardisia_nervosissima","NotEvaluated"
"Ardisia_obtusa","NotEvaluated"
"Ardisia_ototomoensis","NotEvaluated"
"Ardisia_picardae","Vulnerable"
"Ardisia_quinquegona","NotThreatened"
"Artocarpus_gomezianus","NotEvaluated"
"Artocarpus_heterophyllus","NotEvaluated"
"Arytera_miniata","Threatened"
"Aspalathus_capitata","NotEvaluated"
"Aspidostemon_conoideus","Threatened"
"Atalantia_buxifolia","NotThreatened"
"Atalantia_monophylla","NotThreatened"
"Aucuba_chinensis","NotThreatened"
"Aucuba_himalaica","NotThreatened"
"Aucuba_obcordata","NotThreatened"
"Auranticarpa_resinosa","NotEvaluated"
"Baphia_puguensis","Threatened"
"Bauhinia_brachycarpa","NotThreatened"
"Bauhinia_viridescens","NotEvaluated"
"Beilschmiedia_brevipaniculata","Vulnerable"
"Beilschmiedia_fordii","NotThreatened"
"Beilschmiedia_intermedia","NotThreatened"
"Beilschmiedia_kweichowensis","NotThreatened"
"Beilschmiedia_laevis","NotThreatened"
"Beilschmiedia_percoriacea","NotEvaluated"
