"species","IUCNstatus"
"Acacia_acradenia","NotThreatened"
"Acacia_adsurgens","NotThreatened"
"Acacia_alleniana","NotThreatened"
"Acacia_ampliceps","NotThreatened"
"Acacia_ancistrocarpa","NotThreatened"
"Acacia_arafurica","NotEvaluated"
"Acacia_armillata","NotEvaluated"
"Acacia_armitii","NotThreatened"
"Acacia_aulacocarpa","NotThreatened"
"Acacia_auriculiformis","NotThreatened"
"Acacia_colei","NotThreatened"
"Acacia_conspersa","NotThreatened"
"Acacia_cowleana","NotThreatened"
"Acacia_crassicarpa","NotThreatened"
"Acacia_difficilis","NotThreatened"
"Acacia_dunnii","NotThreatened"
"Acacia_elachantha","NotThreatened"
"Acacia_fleckeri","NotEvaluated"
"Acacia_gonocarpa","NotThreatened"
"Acacia_gonoclada","NotThreatened"
"Acacia_hammondii","NotThreatened"
"Acacia_hemignosta","NotThreatened"
"Acacia_hemsleyi","NotThreatened"
"Acacia_holosericea","NotEvaluated"
"Acacia_jasperensis","NotThreatened"
"Acacia_jensenii","NotThreatened"
"Acacia_lamprocarpa","NotThreatened"
"Acacia_latescens","NotThreatened"
"Acacia_leptocarpa","NotThreatened"
"Acacia_maconochieana","NotThreatened"
"Acacia_midgleyi","NotThreatened"
"Acacia_monticola","NotThreatened"
"Acacia_multisiliqua","NotThreatened"
"Acacia_neurocarpa","NotThreatened"
"Acacia_ommatosperma","NotEvaluated"
"Acacia_orthocarpa","NotThreatened"
"Acacia_pachycarpa","NotThreatened"
"Acacia_pellita","NotThreatened"
"Acacia_platycarpa","NotThreatened"
"Acacia_plectocarpa","NotThreatened"
"Acacia_polystachya","NotThreatened"
"Acacia_pruinocarpa","NotThreatened"
"Acacia_rothii","NotThreatened"
"Acacia_sericata","NotThreatened"
"Acacia_shirleyi","NotThreatened"
"Acacia_simsii","NotThreatened"
"Acacia_stipuligera","NotThreatened"
"Acacia_thomsonii","NotThreatened"
"Acacia_torulosa","NotThreatened"
"Acacia_tropica","NotThreatened"
"Acacia_tumida","NotThreatened"
