"species","IUCNstatus"
"Abarema_commutata","NotThreatened"
"Abarema_ferruginea","NotEvaluated"
"Abarema_racemiflora","NotThreatened"
"Abies_kawakamii","NotThreatened"
"Abies_procera","NotThreatened"
"Abrahamia_latifolia","Vulnerable"
"Acacia_brockii","NotEvaluated"
"Acacia_celsa","NotThreatened"
"Acacia_convallium","NotThreatened"
"Acacia_echinuliflora","NotEvaluated"
"Acacia_hylonoma","NotEvaluated"
"Acacia_lacertensis","NotThreatened"
"Acacia_mountfordiae","NotThreatened"
"Acacia_multistipulosa","NotEvaluated"
"Acacia_proiantha","NotEvaluated"
"Acacia_scopulorum","NotThreatened"
"Acacia_sericoflora","NotThreatened"
"Acer_caudatifolium","NotEvaluated"
"Acer_duplicatoserratum","NotThreatened"
"Acer_rubescens","NotThreatened"
"Aceratium_concinnum","NotEvaluated"
"Aceratium_doggrellii","NotEvaluated"
"Aceratium_megalospermum","NotThreatened"
"Aceratium_sericoleopsis","NotEvaluated"
"Acritopappus_prunifolius","Vulnerable"
"Acronychia_aberrans","NotEvaluated"
"Acronychia_chooreechillum","NotEvaluated"
"Acronychia_parviflora","NotThreatened"
"Acronychia_rugosa","NotThreatened"
"Acropogon_veillonii","Vulnerable"
"Actinodaphne_mushaensis","NotThreatened"
"Adansonia_grandidieri","Threatened"
"Adinandra_formosana","NotEvaluated"
"Adinandra_lasiostyla","NotEvaluated"
"Aegiphila_schimpffii","Threatened"
"Aetoxylon_sympetalum","NotEvaluated"
"Aextoxicon_punctatum","NotThreatened"
"Agathis_atropurpurea","NotThreatened"
"Agathis_microstachya","NotThreatened"
"Aglaia_australiensis","Vulnerable"
"Aglaia_brassii","Vulnerable"
"Agouticarpa_grandistipula","NotEvaluated"
"Aiouea_guatemalensis","Vulnerable"
"Aiouea_obscura","Vulnerable"
"Aiouea_parvissima","Threatened"
"Aiphanes_duquei","Vulnerable"
"Albizia_greveana","NotThreatened"
"Albizia_numidarum","Threatened"
"Aldina_insignis","NotEvaluated"
"Alexa_canaracunensis","NotEvaluated"
"Alfaroa_manningii","NotThreatened"
"Alibertia_atlantica","NotThreatened"
"Alibertia_utleyorum","NotEvaluated"
"Allamanda_weberbaueri","NotEvaluated"
"Allantoma_kuhlmannii","Threatened"
"Allomaieta_pancurana","NotThreatened"
"Allosyncarpia_ternata","DD"
"Alniphyllum_pterospermum","NotEvaluated"
"Alnus_formosana","NotThreatened"
"Alseis_smithii","NotEvaluated"
"Amaracarpus_nematopodus","NotEvaluated"
"Amomyrtus_luma","NotEvaluated"
"Amphitecna_donnell-smithii","Threatened"
"Amyrea_remotiflora","Threatened"
"Amyris_brenesii","NotThreatened"
"Amyris_rhomboidea","NotEvaluated"
"Anacardium_fruticosum","NotEvaluated"
"Anaxagorea_petiolata","NotThreatened"
"Andira_grandistipula","NotEvaluated"
"Angostura_granulosa","NotThreatened"
"Aniba_excelsa","Vulnerable"
"Aniba_heterotepala","Threatened"
"Annona_asplundiana","Vulnerable"
"Annona_pachyantha","Vulnerable"
"Annona_pittieri","NotThreatened"
"Annona_rufinervis","Threatened"
"Anthodiscus_mazarunensis","NotEvaluated"
"Anthodiscus_trifoliatus","NotEvaluated"
"Aphanocalyx_trapnellii","NotThreatened"
"Apodocephala_urschiana","Threatened"
"Apodytes_geldenhuysii","NotEvaluated"
"Appunia_debilis","NotEvaluated"
"Arachnothryx_brenesii","NotThreatened"
"Arachnothryx_calycosa","Vulnerable"
"Arachnothryx_chaconii","Threatened"
"Arachnothryx_tayloriae","Threatened"
"Arachnothryx_torresii","NotThreatened"
"Aralia_bipinnata","NotEvaluated"
"Aralia_castanopsiscola","NotEvaluated"
"Araucaria_araucana","Threatened"
"Archidendron_ramiflorum","NotEvaluated"
"Archidendron_vaillantii","NotThreatened"
"Archidendron_whitei","NotEvaluated"
"Arctostaphylos_nortensis","NotThreatened"
"Ardisia_auriculata","NotThreatened"
"Ardisia_blepharodes","Threatened"
"Ardisia_brenesii","Vulnerable"
"Ardisia_cabrerae","NotThreatened"
"Ardisia_cartagoana","Threatened"
"Ardisia_caudifera","NotEvaluated"
"Ardisia_crassipes","NotEvaluated"
"Ardisia_dwyeri","NotEvaluated"
"Ardisia_fimbrillifera","NotThreatened"
"Ardisia_furfuracea","Threatened"
"Ardisia_glandulosomarginata","NotThreatened"
"Ardisia_knappiae","NotEvaluated"
"Ardisia_liesneri","Threatened"
"Ardisia_pachyrhachis","NotThreatened"
"Ardisia_palmana","NotThreatened"
"Ardisia_pleurobotrya","Vulnerable"
"Ardisia_schippii","NotEvaluated"
"Ardisia_sieboldii","NotThreatened"
"Ardisia_subsessilifolia","Vulnerable"
"Arytera_pauciflora","NotEvaluated"
"Aspidosperma_steyermarkii","NotThreatened"
"Aspidostemon_glandulosus","Threatened"
"Asteropeia_matrambody","Vulnerable"
"Astrocaryum_alatum","NotThreatened"
"Astrocaryum_confertum","Threatened"
"Astrotrichilia_voamatata","Threatened"
"Atractocarpus_hirtus","NotThreatened"
"Atractocarpus_merikin","NotEvaluated"
"Attalea_pindobassu","NotEvaluated"
"Auranticarpa_papyracea","NotEvaluated"
"Austrobuxus_megacarpus","NotEvaluated"
"Austrocedrus_chilensis","NotThreatened"
"Austromuellera_trinervia","NotThreatened"
"Austromyrtus_mendute","NotEvaluated"
"Axinaea_costaricensis","NotThreatened"
"Axinaea_mertensioides","NotEvaluated"
"Axinaea_nitida","NotThreatened"
"Azara_integrifolia","NotThreatened"
"Azara_lanceolata","NotThreatened"
"Azara_microphylla","NotThreatened"
"Azara_petiolaris","NotThreatened"
"Azara_serrata","NotThreatened"
"Backhousia_bancroftii","NotEvaluated"
"Bactris_caudata","NotThreatened"
"Bactris_dianeura","NotThreatened"
"Bactris_gracilior","NotThreatened"
"Bactris_herrerana","Threatened"
"Bactris_kunorum","DD"
"Bactris_longiseta","Threatened"
"Bactris_oligoclada","NotEvaluated"
"Bactris_polystachya","Vulnerable"
"Bactris_ptariana","NotEvaluated"
"Baloghia_parviflora","NotEvaluated"
"Barongia_lophandra","NotEvaluated"
"Bartholomaea_mollis","Threatened"
"Bartholomaea_sessiliflora","Threatened"
"Bathiorhamnus_reticulatus","NotThreatened"
"Baudouinia_louvelii","Threatened"
"Bauhinia_pichinchensis","Vulnerable"
"Bauhinia_rubeleruziana","NotEvaluated"
"Beilschmiedia_bancroftii","NotThreatened"
"Beilschmiedia_brunnea","NotEvaluated"
"Beilschmiedia_curviramea","Vulnerable"
