"species","IUCNstatus"
"Acacia_craspedocarpa","NotThreatened"
"Acacia_cretacea","NotEvaluated"
"Acacia_demissa","NotThreatened"
"Acacia_desertorum","NotThreatened"
"Acacia_donaldsonii","NotThreatened"
"Acacia_fuscaneura","NotThreatened"
"Acacia_jamesiana","NotThreatened"
"Acacia_quadrimarginea","NotThreatened"
"Acacia_simplex","NotThreatened"
"Acacia_tysonii","NotThreatened"
"Acacia_wilcoxii","NotEvaluated"
"Acalypha_grandis","NotThreatened"
"Acalypha_hellwigii","NotThreatened"
"Acalypha_longispica","NotThreatened"
"Acalypha_novoguineensis","NotThreatened"
"Acalypha_pancheriana","NotEvaluated"
"Aceratium_archboldianum","NotThreatened"
"Aceratium_brassii","NotThreatened"
"Aceratium_ledermannii","NotThreatened"
"Aceratium_muellerianum","NotThreatened"
"Aceratium_parvifolium","NotThreatened"
"Aceratium_pittosporoides","Vulnerable"
"Achatocarpus_gracilis","Threatened"
"Acmopyle_pancheri","NotThreatened"
"Acridocarpus_austrocaledonicus","NotEvaluated"
"Acronychia_ledermannii","NotThreatened"
"Acronychia_murina","NotThreatened"
"Acronychia_pullei","NotThreatened"
"Acropogon_aoupiniensis","Threatened"
"Acropogon_merytifolius","NotThreatened"
"Acropogon_schumanniana","NotEvaluated"
"Actinodaphne_tomentosa","Vulnerable"
"Actinorhytis_calapparia","NotEvaluated"
"Adinandra_brassii","NotThreatened"
"Afraegle_paniculata","NotEvaluated"
"Agathis_kinabaluensis","Threatened"
"Agathis_moorei","Vulnerable"
"Aglaia_agglomerata","NotThreatened"
"Aglaia_conferta","DD"
"Aglaia_cremea","NotThreatened"
"Aglaia_lepidopetala","NotThreatened"
"Aglaia_lepiorrhachis","NotThreatened"
"Aglaia_leucoclada","Vulnerable"
"Aglaia_parviflora","NotThreatened"
"Aglaia_rivularis","Vulnerable"
"Aglaia_subcuprea","NotThreatened"
"Aglaia_subminutiflora","NotThreatened"
"Aidia_borneensis","NotEvaluated"
"Aidia_congesta","NotEvaluated"
"Aidia_vieillardii","NotEvaluated"
"Aidia_waugia","Threatened"
"Albizia_nayaritensis","Vulnerable"
"Alectryon_carinatus","NotEvaluated"
"Alectryon_macrophyllus","DD"
"Alectryon_myrmecophilus","DD"
"Alectryon_strigosus","DD"
"Allophylus_amboinensis","NotEvaluated"
"Alphandia_furfuracea","NotEvaluated"
"Alphitonia_ferruginea","NotThreatened"
"Alphitonia_macrocarpa","NotThreatened"
"Alseodaphne_archboldiana","NotThreatened"
"Alstonia_balansae","NotEvaluated"
"Alstonia_coriacea","NotEvaluated"
"Alstonia_lanceolata","NotEvaluated"
"Alstonia_legouixiae","NotEvaluated"
"Alstonia_vieillardii","NotEvaluated"
"Amaracarpus_attenuatus","NotThreatened"
"Amaracarpus_grandifolius","NotThreatened"
"Amborella_trichopoda","NotThreatened"
"Amphipterygium_glaucum","Threatened"
"Anacolosa_papuana","NotThreatened"
"Andira_jaliscensis","Vulnerable"
"Anisoptera_thurifera","Vulnerable"
"Antiaropsis_decipiens","NotThreatened"
"Antidesma_chalaranthum","NotThreatened"
"Antidesma_messianianum","NotThreatened"
"Antidesma_myriocarpum","NotThreatened"
"Antidesma_rhynchophyllum","NotThreatened"
"Aphanocalyx_hedinii","NotEvaluated"
"Apodytes_clusiifolia","NotThreatened"
"Aporosa_brassii","NotThreatened"
"Aporosa_carrii","NotThreatened"
"Aporosa_chondroneura","NotEvaluated"
"Aporosa_hermaphrodita","NotThreatened"
"Aporosa_laxiflora","NotThreatened"
"Aporosa_leptochrysandra","NotThreatened"
"Aporosa_nigropunctata","NotThreatened"
"Aporosa_papuana","NotThreatened"
"Aporosa_vagans","NotThreatened"
"Apterokarpos_gardneri","NotThreatened"
"Arachnothryx_guerrerensis","NotEvaluated"
"Arachnothryx_manantlanensis","Threatened"
"Araucaria_bernieri","Vulnerable"
"Araucaria_biramulata","Vulnerable"
"Araucaria_hunsteinii","NotThreatened"
"Araucaria_luxurians","Threatened"
"Araucaria_montana","Vulnerable"
"Araucaria_rulei","Threatened"
"Araucaria_scopulorum","Threatened"
"Archidendron_aruense","NotThreatened"
"Archidendron_calliandrum","NotThreatened"
"Archidendron_glabrum","NotThreatened"
"Archidendron_parviflorum","NotThreatened"
"Archidendropsis_fournieri","NotEvaluated"
"Archidendropsis_granulosa","NotEvaluated"
"Archidendropsis_paivana","Vulnerable"
"Archidendropsis_streptocarpa","NotEvaluated"
"Ardisia_lancifolia","NotEvaluated"
"Ardisia_lucida","NotEvaluated"
"Ardisia_obovatifolia","NotEvaluated"
"Areca_macrocalyx","NotThreatened"
"Aristotelia_gaultheria","NotThreatened"
"Artocarpus_brevipedunculatus","NotEvaluated"
"Artocarpus_primackii","NotEvaluated"
"Artocarpus_sepicanus","NotThreatened"
"Artocarpus_tamaran","Vulnerable"
"Artocarpus_tomentosulus","NotEvaluated"
"Artocarpus_vriesianus","NotEvaluated"
"Arytera_arcuata","NotEvaluated"
"Arytera_chartacea","NotEvaluated"
"Arytera_collina","NotEvaluated"
"Arytera_gracilipes","NotEvaluated"
"Arytera_lepidota","NotEvaluated"
"Arytera_neoebudensis","NotEvaluated"
"Ascarina_rubricaulis","NotEvaluated"
"Ascarina_solmsiana","NotEvaluated"
"Astrocasia_peltata","NotEvaluated"
"Atractocarpus_decorus","NotThreatened"
"Aubrevillea_kerstingii","NotThreatened"
"Austrobuxus_alticola","NotEvaluated"
"Austrobuxus_carunculatus","NotEvaluated"
"Austrobuxus_ellipticus","NotEvaluated"
"Austrobuxus_eugeniifolius","NotEvaluated"
"Austrobuxus_ovalis","NotEvaluated"
"Austrobuxus_vieillardii","NotEvaluated"
"Austromyrtus_poimbailensis","NotEvaluated"
"Austrotaxus_spicata","NotThreatened"
"Baccaurea_papuana","NotThreatened"
"Balanops_balansae","NotThreatened"
"Balanops_oliviformis","NotEvaluated"
"Balanops_pachyphylla","NotEvaluated"
"Balanops_pancheri","NotEvaluated"
"Balanops_sparsifolia","NotEvaluated"
"Baloghia_alternifolia","NotThreatened"
"Baloghia_anisomera","Threatened"
"Baloghia_balansae","Vulnerable"
"Baloghia_brongniartii","NotThreatened"
"Baloghia_buchholzii","NotThreatened"
"Baloghia_bureavii","NotThreatened"
"Baloghia_montana","Vulnerable"
"Barringtonia_apiculata","NotThreatened"
"Barringtonia_calyptrocalyx","NotThreatened"
"Barringtonia_lauterbachii","NotThreatened"
"Barringtonia_longifolia","NotEvaluated"
"Barringtonia_novae-hiberniae","NotThreatened"
"Basselinia_eriostachys","NotThreatened"
"Basselinia_glabrata","Vulnerable"
"Basselinia_gracilis","Threatened"
"Basselinia_humboldtiana","NotThreatened"
"Basselinia_pancheri","NotThreatened"
"Basselinia_sordida","NotThreatened"
"Basselinia_velutina","NotThreatened"
"Bauhinia_pes-caprae","Threatened"
"Bauhinia_subrotundifolia","NotThreatened"
"Beauprea_filipes","NotEvaluated"
"Beauprea_pancheri","NotEvaluated"
"Beilschmiedia_acutifolia","NotThreatened"
"Beilschmiedia_manantlanensis","Threatened"
"Beilschmiedia_michelsonii","Threatened"
"Beilschmiedia_oreophila","NotEvaluated"
"Beiselia_mexicana","Threatened"
"Benstonea_adinobotrys","NotThreatened"
"Benstonea_pectinata","NotEvaluated"
"Benstonea_stenocarpa","NotThreatened"
"Bernardia_fonsecae","Threatened"
"Bleasdalea_papuana","Threatened"
"Blighia_sapida","NotThreatened"
"Bocconia_hintoniorum","Threatened"
"Bocquillonia_lucidula","NotThreatened"
"Bocquillonia_sessiliflora","NotThreatened"
"Bocquillonia_spicata","NotThreatened"
"Bonellia_flammea","Threatened"
"Bonellia_montana","Threatened"
"Bourreria_hintonii","NotEvaluated"
"Bourreria_pulchra","NotThreatened"
"Bourreria_rowellii","Threatened"
"Brachychiton_carruthersii","Vulnerable"
"Brackenridgea_forbesii","NotThreatened"
"Brassiantha_pentamera","NotThreatened"
"Brassiophoenix_drymophloeoides","NotThreatened"
"Brenandendron_donianum","NotThreatened"
"Brenandendron_frondosum","NotEvaluated"
"Breviea_sericea","NotThreatened"
"Breynia_collaris","NotThreatened"
"Breynia_disticha","NotEvaluated"
"Buchanania_macrocarpa","NotThreatened"
"Buchholzia_coriacea","NotThreatened"
"Burretiokentia_hapala","Threatened"
"Burretiokentia_vieillardii","NotThreatened"
"Bursera_bolivarii","Vulnerable"
"Bursera_bonetii","Threatened"
"Bursera_chemapodicta","Vulnerable"
"Bursera_citronella","Vulnerable"
"Bursera_coyucensis","NotThreatened"
"Bursera_crenata","NotThreatened"
"Bursera_denticulata","Vulnerable"
"Bursera_discolor","NotThreatened"
"Bursera_infernidialis","Vulnerable"
"Bursera_instabilis","Vulnerable"
"Bursera_krusei","Vulnerable"
"Bursera_macvaughiana","Threatened"
"Bursera_paradoxa","NotEvaluated"
"Bursera_sarcopoda","Threatened"
"Bursera_sarukhanii","Vulnerable"
"Bursera_suntui","Vulnerable"
"Bursera_toledoana","Threatened"
"Bursera_trifoliolata","Vulnerable"
"Bursera_trimera","Vulnerable"
"Bursera_vejar-vazquezii","Vulnerable"
"Bursera_velutina","Threatened"
"Bursera_xochipalensis","Vulnerable"
"Byrsonima_bucidifolia","NotThreatened"
"Calamus_gibbsianus","NotEvaluated"
"Calliandra_duckei","DD"
"Calliandra_erythrocephala","NotEvaluated"
"Calliandra_physocalyx","NotEvaluated"
"Calophyllum_caledonicum","NotEvaluated"
"Calophyllum_carrii","Vulnerable"
"Calophyllum_euryphyllum","NotThreatened"
"Calophyllum_laticostatum","NotThreatened"
"Calophyllum_pauciflorum","NotThreatened"
"Calophyllum_peekelii","NotThreatened"
"Calophyllum_vexans","NotThreatened"
"Calyptrocalyx_lauterbachianus","NotThreatened"
"Campnosperma_brevipetiolatum","NotThreatened"
"Canarium_cestracion","NotThreatened"
"Canarium_indicum","NotThreatened"
"Canarium_kaniense","NotThreatened"
"Canarium_latistipulatum","NotEvaluated"
"Canarium_macadamii","Threatened"
"Canarium_rigidum","DD"
"Carallia_borneensis","NotEvaluated"
"Carapa_batesii","NotEvaluated"
"Carapa_dinklagei","NotEvaluated"
"Carapa_hygrophila","NotEvaluated"
"Carapa_microcarpa","NotThreatened"
"Carpodetus_arboreus","NotThreatened"
"Carpodetus_major","NotThreatened"
"Casearia_clutiifolia","NotThreatened"
"Casearia_deplanchei","NotEvaluated"
"Casearia_emarginata","NotThreatened"
"Casearia_pachyphylla","NotThreatened"
"Casearia_ripicola","NotThreatened"
"Cassia_hintonii","NotEvaluated"
"Cassine_curtipendula","NotEvaluated"
"Casuarina_collina","NotEvaluated"
"Celosia_monosperma","NotThreatened"
"Celtis_conferta","NotEvaluated"
"Celtis_hildebrandii","NotEvaluated"
"Celtis_hypoleuca","Threatened"
"Ceratopetalum_succirubrum","NotThreatened"
"Cerbera_inflata","NotEvaluated"
"Cerberiopsis_neriifolia","Vulnerable"
"Chambeyronia_macrocarpa","NotThreatened"
"Chionanthus_brachystachys","NotEvaluated"
"Chionanthus_brassii","NotThreatened"
"Chionanthus_pachyphyllus","NotEvaluated"
"Chionanthus_pedunculatus","NotEvaluated"
"Chionanthus_porcatus","NotEvaluated"
"Chionanthus_pubicalyx","NotEvaluated"
"Chionanthus_riparius","NotThreatened"
"Chionanthus_sessiliflorus","NotThreatened"
"Chisocheton_novobritannicus","Vulnerable"
"Chisocheton_sapindinus","NotThreatened"
"Chisocheton_sayeri","NotThreatened"
"Chisocheton_tenuis","NotThreatened"
"Cinnamomum_archboldianum","NotThreatened"
"Cinnamomum_clemensii","NotThreatened"
"Cinnamomum_eugenoliferum","NotThreatened"
"Cinnamomum_frodinii","Threatened"
"Cinnamomum_grandiflorum","DD"
"Cinnamomum_ledermannii","NotThreatened"
"Cinnamomum_podagricum","NotThreatened"
"Cinnamomum_solomonense","NotThreatened"
"Citronella_macrocarpa","NotEvaluated"
"Citronella_sarmentosa","NotEvaluated"
"Claoxylon_capillipes","NotThreatened"
"Claoxylon_coriaceolanatum","NotThreatened"
"Claoxylon_gillisonii","NotEvaluated"
"Claoxylon_insulanum","NotThreatened"
"Claoxylon_lutescens","NotThreatened"
"Claoxylon_microcarpum","NotThreatened"
"Claoxylon_muscisilvae","NotThreatened"
"Claoxylon_papuae","NotThreatened"
"Claoxylon_salomonense","NotThreatened"
"Claoxylon_scabratum","NotThreatened"
"Cleidion_claoxyloides","NotThreatened"
"Cleidion_gabonicum","NotThreatened"
"Cleidion_lasiophyllum","NotThreatened"
"Cleidion_macarangoides","Vulnerable"
"Cleidion_macrophyllum","NotThreatened"
"Cleidion_spathulatum","NotThreatened"
"Cleidion_veillonii","Threatened"
"Cleidion_vieillardii","NotThreatened"
"Cleistanthus_insignis","Vulnerable"
"Cleistanthus_stipitatus","NotThreatened"
"Clethra_longispicata","NotEvaluated"
"Clethra_pachyphylla","NotEvaluated"
"Cleyera_velutina","Threatened"
"Cloezia_artensis","NotThreatened"
"Cloezia_floribunda","NotThreatened"
"Clymenia_polyandra","NotThreatened"
"Coccoloba_ortizii","Threatened"
"Cocconerion_minus","NotThreatened"
"Coccothrinax_readii","NotThreatened"
"Codia_albicans","NotThreatened"
"Codia_incrassata","NotThreatened"
"Codia_mackeeana","NotThreatened"
"Codia_montana","NotThreatened"
"Codia_nitida","NotThreatened"
"Codiaeum_peltatum","NotThreatened"
"Coffea_togoensis","Threatened"
"Cola_boxiana","Threatened"
"Cola_millenii","NotThreatened"
"Cola_praeacuta","Threatened"
"Cola_semecarpophylla","NotThreatened"
"Cola_umbratilis","Vulnerable"
"Colubrina_cordifolia","NotThreatened"
"Commersonia_novoguinensis","NotThreatened"
"Comptonella_drupacea","NotEvaluated"
"Comptonella_microcarpa","NotEvaluated"
"Comptonella_oreophila","NotEvaluated"
"Comptonella_sessilifoliola","NotEvaluated"
"Conandrium_polyanthum","NotThreatened"
"Coprosma_papuensis","NotThreatened"
"Cordia_globulifera","Vulnerable"
"Cordia_guineensis","NotThreatened"
"Cordia_seleriana","NotThreatened"
"Coronanthera_sericea","NotEvaluated"
"Corynocarpus_dissimilis","NotThreatened"
"Cossinia_trifoliata","Vulnerable"
"Coursetia_paniculata","Threatened"
"Cowiea_borneensis","NotThreatened"
"Craterispermum_aristatum","NotEvaluated"
"Craterispermum_caudatum","NotThreatened"
"Crossosperma_velutina","DD"
"Crossostylis_grandiflora","NotEvaluated"
"Crossostylis_multiflora","NotEvaluated"
"Croton_aubrevillei","Vulnerable"
"Croton_icche","NotThreatened"
"Croton_morobensis","NotThreatened"
"Croton_muriculatus","NotThreatened"
"Croton_nubigenus","Threatened"
"Croton_penduliflorus","NotThreatened"
"Croton_verapazensis","Vulnerable"
"Croton_websteri","NotEvaluated"
"Croton_womersleyi","NotThreatened"
"Crudia_subsimplicifolia","NotEvaluated"
"Cryptocarya_aristata","NotEvaluated"
"Cryptocarya_depressa","NotThreatened"
"Cryptocarya_elliptica","NotEvaluated"
"Cryptocarya_fagifolia","Vulnerable"
"Cryptocarya_gracilis","NotEvaluated"
"Cryptocarya_guillauminii","NotEvaluated"
"Cryptocarya_idenburgensis","NotThreatened"
"Cryptocarya_iridescens","Vulnerable"
"Cryptocarya_kamahar","NotThreatened"
"Cryptocarya_ledermannii","Vulnerable"
"Cryptocarya_leptospermoides","NotEvaluated"
"Cryptocarya_longifolia","NotEvaluated"
"Cryptocarya_macrocarpa","NotEvaluated"
"Cryptocarya_macrodesme","NotEvaluated"
"Cryptocarya_massoy","NotThreatened"
"Cryptocarya_minutifolia","NotThreatened"
"Cryptocarya_multinervis","NotThreatened"
"Cryptocarya_multipaniculata","NotThreatened"
"Cryptocarya_odorata","NotEvaluated"
"Cryptocarya_oubatchensis","NotEvaluated"
"Cryptocarya_phyllostemon","NotEvaluated"
"Cryptocarya_pluricostata","NotEvaluated"
"Cryptocarya_pulchella","Vulnerable"
"Cryptocarya_transversa","NotEvaluated"
"Cryptocarya_velutinosa","NotEvaluated"
"Cryptocarya_weinlandii","NotThreatened"
"Ctenardisia_amplifolia","NotEvaluated"
"Cunonia_aoupiniensis","NotThreatened"
"Cunonia_austrocaledonica","NotThreatened"
