"species","IUCNstatus"
"Abies_amabilis","NotThreatened"
"Abies_grandis","NotThreatened"
"Acalypha_suirenbiensis","Vulnerable"
"Acer_campestre","NotThreatened"
"Acer_crassum","Vulnerable"
"Acer_fabri","NotThreatened"
"Acer_laurinum","NotThreatened"
"Acer_paxii","NotThreatened"
"Acer_tonkinense","NotThreatened"
"Acer_wangchii","NotThreatened"
"Acridocarpus_socotranus","NotThreatened"
"Acrocarpus_fraxinifolius","NotEvaluated"
"Actephila_merrilliana","NotThreatened"
"Actinodaphne_forrestii","NotThreatened"
"Actinodaphne_lecomtei","NotThreatened"
"Actinodaphne_omeiensis","NotThreatened"
"Actinodaphne_pilosa","NotThreatened"
"Actinodaphne_trichocarpa","NotThreatened"
"Adenanthera_microsperma","NotThreatened"
"Adinandra_hirta","NotEvaluated"
"Adinandra_megaphylla","NotEvaluated"
"Aesculus_wangii","Vulnerable"
"Aglaia_edulis","NotThreatened"
"Aglaia_odorata","NotThreatened"
"Aglaia_perviridis","Vulnerable"
"Aidia_oxyodonta","NotEvaluated"
"Aidia_pycnantha","NotThreatened"
"Alangium_barbatum","NotThreatened"
"Alangium_kurzii","NotThreatened"
"Albizia_attopeuensis","NotEvaluated"
"Albizia_corniculata","NotThreatened"
"Albizia_lucidior","NotEvaluated"
"Allophylus_longipes","NotEvaluated"
"Allophylus_rhomboidalis","NotThreatened"
"Alniphyllum_eberhardtii","NotThreatened"
"Aloe_comosa","DD"
"Aloidendron_eminens","NotEvaluated"
"Aloidendron_pillansii","Threatened"
"Aloidendron_ramosissimum","Threatened"
"Alphonsea_hainanensis","Threatened"
"Alphonsea_mollis","NotThreatened"
"Alphonsea_monogyna","Vulnerable"
"Amentotaxus_yunnanensis","Vulnerable"
"Amesiodendron_chinense","NotThreatened"
"Antidesma_fordii","NotThreatened"
"Antidesma_hainanense","NotEvaluated"
"Antidesma_maclurei","NotEvaluated"
"Antirhea_chinensis","NotThreatened"
"Aporosa_serrata","NotEvaluated"
"Aporosa_villosa","NotEvaluated"
"Aporosa_yunnanensis","NotEvaluated"
"Aquilaria_sinensis","Vulnerable"
"Aralia_armata","NotThreatened"
"Aralia_finlaysoniana","NotEvaluated"
"Aralia_foliolosa","NotEvaluated"
"Aralia_gintungensis","NotEvaluated"
"Aralia_searelliana","NotEvaluated"
"Aralia_thomsonii","NotEvaluated"
"Aralia_tomentella","NotEvaluated"
"Aralia_vietnamensis","NotEvaluated"
"Archidendron_chevalieri","NotEvaluated"
"Archidendron_kerrii","NotEvaluated"
"Archidendron_robinsonii","NotEvaluated"
"Archidendron_turgidum","NotEvaluated"
"Archidendron_utile","NotEvaluated"
"Ardisia_densilepidotula","NotThreatened"
"Ardisia_obtusa","NotEvaluated"
"Ardisia_polysticta","NotThreatened"
"Ardisia_thyrsiflora","NotThreatened"
"Ardisia_waitakii","NotEvaluated"
"Artocarpus_petelotii","NotEvaluated"
"Artocarpus_tonkinensis","NotEvaluated"
"Ascarina_polystachya","NotEvaluated"
"Ascarina_subfalcata","NotEvaluated"
"Aspalathus_capitata","NotEvaluated"
"Aspalathus_pendula","NotThreatened"
"Aspalathus_vulnerans","NotEvaluated"
"Astronia_ferruginea","NotEvaluated"
"Atalantia_buxifolia","NotThreatened"
"Atalantia_dasycarpa","NotThreatened"
"Atalantia_guillauminii","NotThreatened"
"Aucuba_chlorascens","NotThreatened"
"Aucuba_himalaica","NotThreatened"
"Barbeya_oleoides","NotThreatened"
"Bauhinia_brachycarpa","NotThreatened"
"Bauhinia_ellenbeckii","NotEvaluated"
"Bauhinia_saccocalyx","NotEvaluated"
"Bauhinia_viridescens","NotEvaluated"
"Beilschmiedia_appendiculata","NotThreatened"
"Beilschmiedia_brevipaniculata","Vulnerable"
"Beilschmiedia_intermedia","NotThreatened"
"Beilschmiedia_laevis","NotThreatened"
"Beilschmiedia_percoriacea","NotEvaluated"
"Beilschmiedia_pergamentacea","NotThreatened"
"Beilschmiedia_roxburghiana","NotThreatened"
"Beilschmiedia_rufohirtella","NotEvaluated"
"Beilschmiedia_tsangii","NotThreatened"
"Beilschmiedia_wangii","NotThreatened"
"Beilschmiedia_yunnanensis","NotThreatened"
"Benkara_armigera","NotEvaluated"
"Benkara_griffithii","NotEvaluated"
"Benkara_sinensis","NotThreatened"
"Bennettiodendron_leprosipes","NotEvaluated"
"Blachia_pentzii","NotEvaluated"
"Bleekrodea_tonkinensis","NotEvaluated"
"Boehmeria_pilosiuscula","NotThreatened"
"Boehmeria_zollingeriana","NotThreatened"
"Boswellia_ameero","Vulnerable"
"Boswellia_elongata","Vulnerable"
"Boswellia_frereana","NotEvaluated"
"Boswellia_rivae","NotThreatened"
"Boswellia_socotrana","Vulnerable"
"Bowringia_callicarpa","NotThreatened"
"Brabejum_stellatifolium","NotThreatened"
"Brachylaena_neriifolia","NotThreatened"
"Brachytome_wallichii","NotEvaluated"
"Brassaiopsis_bodinieri","NotEvaluated"
"Brassaiopsis_ciliata","NotEvaluated"
"Brassaiopsis_dumicola","Threatened"
"Brassaiopsis_gracilis","NotEvaluated"
"Brassaiopsis_grushvitzkyi","NotEvaluated"
"Brassaiopsis_producta","NotEvaluated"
"Brassaiopsis_stellata","NotEvaluated"
"Breynia_fruticosa","NotThreatened"
"Breynia_rostrata","NotThreatened"
"Bridelia_balansae","NotThreatened"
"Broussonetia_papyrifera","NotThreatened"
"Brucea_mollis","NotEvaluated"
"Buchanania_microphylla","NotEvaluated"
"Buddleja_paniculata","NotEvaluated"
"Burretiodendron_hsienmu","Vulnerable"
"Buxus_hildebrandtii","NotThreatened"
"Cadaba_longifolia","NotThreatened"
"Cadia_purpurea","NotThreatened"
"Calamus_modestus","NotThreatened"
"Calamus_poilanei","NotEvaluated"
"Calamus_thysanolepis","NotEvaluated"
"Callicarpa_nudiflora","NotThreatened"
"Calocedrus_macrolepis","NotThreatened"
"Calocedrus_rupestris","Threatened"
"Calophyllum_balansae","NotEvaluated"
"Calophyllum_membranaceum","NotEvaluated"
"Camellia_caudata","NotThreatened"
"Camellia_crassicolumna","NotThreatened"
"Camellia_drupifera","DD"
"Camellia_flava","Threatened"
"Camellia_fluviatilis","NotThreatened"
"Camellia_hongkongensis","Threatened"
"Camellia_indochinensis","NotThreatened"
"Camellia_kwangsiensis","NotThreatened"
"Camellia_mairei","NotThreatened"
"Camellia_semiserrata","NotThreatened"
"Camellia_tsaii","NotThreatened"
"Camellia_tsingpienensis","NotThreatened"
"Canarium_album","NotEvaluated"
"Canarium_pimela","NotEvaluated"
"Canthium_coffeoides","NotEvaluated"
"Canthium_simile","NotEvaluated"
"Capparis_urophylla","NotEvaluated"
"Carallia_garciniifolia","NotEvaluated"
"Carallia_pectinifolia","NotThreatened"
"Carpinus_hebestroma","Threatened"
"Carpinus_kweichowensis","NotThreatened"
"Carya_sinensis","Threatened"
"Carya_tonkinensis","NotEvaluated"
"Caryodaphnopsis_latifolia","NotEvaluated"
"Caryodaphnopsis_tonkinensis","NotThreatened"
"Caryota_maxima","NotEvaluated"
"Caryota_mitis","NotThreatened"
"Caryota_obtusa","NotEvaluated"
"Caryota_sympetala","NotEvaluated"
"Casearia_flexuosa","NotEvaluated"
"Casearia_velutina","NotThreatened"
"Cassine_parvifolia","NotEvaluated"
"Cassine_schinoides","NotThreatened"
"Castanopsis_amabilis","NotEvaluated"
"Castanopsis_argyrophylla","NotThreatened"
"Castanopsis_boisii","NotEvaluated"
"Castanopsis_calathiformis","NotEvaluated"
"Castanopsis_ceratacantha","NotThreatened"
"Castanopsis_cerebrina","NotEvaluated"
"Castanopsis_chinensis","NotEvaluated"
"Castanopsis_choboensis","NotEvaluated"
"Castanopsis_crassifolia","NotEvaluated"
"Castanopsis_dongchoensis","NotEvaluated"
"Castanopsis_ferox","NotEvaluated"
"Castanopsis_formosana","NotEvaluated"
"Castanopsis_hainanensis","NotEvaluated"
"Castanopsis_hupehensis","NotThreatened"
"Castanopsis_indica","NotThreatened"
"Castanopsis_lecomtei","NotEvaluated"
"Castanopsis_orthacantha","NotThreatened"
"Castanopsis_platyacantha","NotEvaluated"
"Castanopsis_tcheponensis","NotEvaluated"
"Castanopsis_tessellata","NotEvaluated"
"Castanopsis_tonkinensis","NotEvaluated"
"Celtis_pacifica","NotThreatened"
"Celtis_timorensis","NotThreatened"
"Ceratonia_oreothauma","NotEvaluated"
"Chapmannia_gracilis","NotThreatened"
"Chieniodendron_hainanense","NotEvaluated"
"Chionanthus_verticillatus","NotEvaluated"
"Choerospondias_axillaris","NotThreatened"
"Cinnadenia_paniculata","Vulnerable"
"Cinnamomum_argenteum","NotEvaluated"
"Cinnamomum_cassia","NotEvaluated"
"Cinnamomum_chengkouense","NotEvaluated"
"Cinnamomum_curvifolium","NotThreatened"
"Cinnamomum_dominii","NotEvaluated"
"Cinnamomum_liangii","NotThreatened"
"Cinnamomum_mairei","Threatened"
"Cinnamomum_pingbienense","NotThreatened"
"Cinnamomum_platyphyllum","Vulnerable"
"Cinnamomum_reticulatum","Vulnerable"
"Cinnamomum_septentrionale","NotThreatened"
"Cinnamomum_tetragonum","Vulnerable"
"Cinnamomum_tonkinense","NotThreatened"
"Cinnamomum_tsoi","Vulnerable"
"Cinnamomum_validinerve","Vulnerable"
"Claoxylon_taitense","NotThreatened"
"Clausena_lansium","NotThreatened"
"Clausena_lenis","NotThreatened"
"Cleidion_brevipetiolatum","NotThreatened"
"Cleistanthus_monoicus","NotEvaluated"
"Cleistanthus_tonkinensis","NotEvaluated"
"Clerodendrum_chinense","NotThreatened"
"Clerodendrum_leucophloeum","Vulnerable"
"Clethra_bodinieri","NotThreatened"
"Clethra_fabri","NotEvaluated"
"Commiphora_capensis","NotThreatened"
"Commiphora_gileadensis","NotEvaluated"
"Commiphora_myrrha","NotEvaluated"
"Commiphora_ornifolia","NotThreatened"
"Commiphora_planifrons","NotThreatened"
"Commiphora_socotrana","NotThreatened"
"Commiphora_truncata","NotThreatened"
"Connarus_paniculatus","NotEvaluated"
"Conocarpus_lancifolius","NotThreatened"
"Coprosma_savaiiensis","NotThreatened"
"Coprosma_tahitensis","NotEvaluated"
"Coprosma_ternata","NotEvaluated"
"Cordia_crenata","NotThreatened"
"Cordia_furcans","NotEvaluated"
"Craibiodendron_stellatum","NotThreatened"
"Craigia_yunnanensis","Threatened"
"Crataegus_atrovirens","NotEvaluated"
"Crataegus_enderbyensis","NotEvaluated"
"Crataegus_okennonii","NotThreatened"
"Crataegus_orbicularis","NotEvaluated"
"Crataegus_phippsii","DD"
"Crateva_unilocularis","NotEvaluated"
"Crossostylis_biflora","NotEvaluated"
"Croton_cascarilloides","NotThreatened"
"Croton_damayeshu","NotEvaluated"
"Croton_euryphyllus","NotThreatened"
"Croton_kerrii","NotEvaluated"
"Croton_kongensis","NotEvaluated"
"Croton_laevigatus","NotThreatened"
"Croton_socotranus","NotThreatened"
"Croton_sulcifructus","Vulnerable"
"Croton_thorelii","NotEvaluated"
"Cryptocarya_calcicola","NotThreatened"
"Cryptocarya_hainanensis","NotThreatened"
"Cryptocarya_laotica","Vulnerable"
"Cryptocarya_lyoniifolia","NotEvaluated"
"Cryptocarya_maclurei","NotThreatened"
"Cryptocarya_metcalfiana","NotThreatened"
"Cryptolepis_macrophylla","Vulnerable"
"Cupressus_vietnamensis","NotEvaluated"
"Cyanea_solanacea","NotEvaluated"
"Cyanea_solenocalyx","Vulnerable"
"Cyrtandra_longiflora","NotEvaluated"
"Dalbergia_hainanensis","Vulnerable"
"Dalbergia_obtusifolia","NotThreatened"
"Dalbergia_odorifera","Vulnerable"
"Dalbergia_pinnata","NotThreatened"
"Dalbergia_polyadelpha","DD"
"Dalbergia_yunnanensis","NotThreatened"
"Daphniphyllum_paxianum","NotThreatened"
"Dasymaschalon_glaucum","NotEvaluated"
"Dasymaschalon_rostratum","NotEvaluated"
"Davidia_involucrata","NotEvaluated"
"Debregeasia_elliptica","NotEvaluated"
"Debregeasia_squamata","NotThreatened"
"Decaspermum_hainanense","NotThreatened"
"Dehaasia_hainanensis","NotEvaluated"
"Dendrocnide_kotoensis","NotEvaluated"
"Dendrocnide_sinuata","NotEvaluated"
"Dendrocnide_urentissima","NotEvaluated"
"Derris_alborubra","NotEvaluated"
"Deutzianthus_tonkinensis","NotThreatened"
"Dichapetalum_longipetalum","NotEvaluated"
"Dillenia_turbinata","NotEvaluated"
"Diospyros_anisocalyx","NotEvaluated"
"Diospyros_dasyphylla","NotEvaluated"
"Diospyros_diversilimba","NotEvaluated"
"Diospyros_dumetorum","NotThreatened"
"Diospyros_eriantha","NotEvaluated"
"Diospyros_glabra","NotThreatened"
"Diospyros_hainanensis","NotThreatened"
"Diospyros_howii","NotEvaluated"
"Diospyros_kotoensis","Threatened"
"Diospyros_longibracteata","NotEvaluated"
"Diospyros_siderophylla","NotThreatened"
"Diospyros_strigosa","NotEvaluated"
"Diospyros_vaccinioides","Threatened"
"Diospyros_yunnanensis","NotThreatened"
"Diplodiscus_trichospermus","NotEvaluated"
"Dipterocarpus_costatus","Vulnerable"
"Dirachma_socotrana","Vulnerable"
"Dirichletia_obovata","NotThreatened"
"Disepalum_petelotii","NotThreatened"
"Disepalum_plagioneurum","NotEvaluated"
"Distyliopsis_laurifolia","NotEvaluated"
"Dracaena_cambodiana","NotEvaluated"
"Dracaena_cinnabari","Vulnerable"
"Dracaena_cochinchinensis","NotEvaluated"
"Dracontomelon_duperreanum","NotEvaluated"
"Drimycarpus_racemosus","NotEvaluated"
"Drypetes_arcuatinervia","NotThreatened"
"Drypetes_congestiflora","NotEvaluated"
"Drypetes_cumingii","NotEvaluated"
"Drypetes_perreticulata","NotThreatened"
