"species","IUCNstatus"
"Abies_hickelii","Threatened"
"Abutilon_grandidentatum","Threatened"
"Acaciella_rosei","Vulnerable"
"Acer_tutcheri","NotThreatened"
"Achatocarpus_gracilis","Threatened"
"Acronychia_pullei","NotThreatened"
"Acropogon_bosseri","NotThreatened"
"Actinocheita_filicina","NotThreatened"
"Actinodaphne_tomentosa","Vulnerable"
"Adelia_oaxacana","NotThreatened"
"Aequatorium_cajamarcense","NotEvaluated"
"Agathis_kinabaluensis","Threatened"
"Agathis_lenticula","Vulnerable"
"Aglaia_cremea","NotThreatened"
"Aglaia_flavida","NotThreatened"
"Aglaia_leucoclada","Vulnerable"
"Agonandra_racemosa","NotThreatened"
"Aidia_waugia","Threatened"
"Albizia_balabaka","Threatened"
"Albizia_nayaritensis","Vulnerable"
"Albizia_occidentalis","NotThreatened"
"Albizia_rhombifolia","NotEvaluated"
"Albizia_xerophytica","Threatened"
"Alectryon_macrophyllus","DD"
"Alectryon_myrmecophilus","DD"
"Alectryon_strigosus","DD"
"Aloe_vaotsanda","Vulnerable"
"Alphitonia_ferruginea","NotThreatened"
"Amaracarpus_attenuatus","NotThreatened"
"Amphipterygium_adstringens","Vulnerable"
"Amphipterygium_glaucum","Threatened"
"Amphipterygium_molle","Vulnerable"
"Amphitecna_molinae","Threatened"
"Amyris_rekoi","Threatened"
"Andira_jaliscensis","Vulnerable"
"Annona_palmeri","NotEvaluated"
"Antidesma_chalaranthum","NotThreatened"
"Antidesma_myriocarpum","NotThreatened"
"Aporosa_carrii","NotThreatened"
"Aporosa_chondroneura","NotEvaluated"
"Aporosa_hermaphrodita","NotThreatened"
"Aporosa_vagans","NotThreatened"
"Aquilaria_sinensis","Vulnerable"
"Arachnothryx_guerrerensis","NotEvaluated"
"Arachnothryx_manantlanensis","Threatened"
"Araucaria_hunsteinii","NotThreatened"
"Archidendron_utile","NotEvaluated"
"Ardisia_caudifera","NotEvaluated"
"Ardisia_hintonii","NotThreatened"
"Ardisia_lancifolia","NotEvaluated"
"Ardisia_lucida","NotEvaluated"
"Ardisia_obovatifolia","NotEvaluated"
"Ardisia_waitakii","NotEvaluated"
"Artocarpus_brevipedunculatus","NotEvaluated"
"Ascarina_polystachya","NotEvaluated"
"Astrocasia_peltata","NotEvaluated"
"Averrhoidium_paraguaiense","NotEvaluated"
"Bakeridesia_bakeriana","Threatened"
"Bauhinia_andrieuxii","NotThreatened"
"Bauhinia_bicolor","DD"
"Bauhinia_leptantha","NotEvaluated"
"Bauhinia_pringlei","NotEvaluated"
"Bauhinia_subrotundifolia","NotThreatened"
"Beilschmiedia_brevipaniculata","Vulnerable"
"Beilschmiedia_intermedia","NotThreatened"
"Beilschmiedia_manantlanensis","Threatened"
"Beilschmiedia_morobensis","Threatened"
"Beilschmiedia_percoriacea","NotEvaluated"
"Beiselia_mexicana","Threatened"
"Benstonea_pectinata","NotEvaluated"
"Benstonea_tunicata","NotThreatened"
"Bernardia_fonsecae","Threatened"
"Bernardia_gentryana","Threatened"
"Bernardia_spongiosa","Threatened"
"Bernardia_wilburii","Vulnerable"
"Bonellia_flammea","Threatened"
"Bonellia_montana","Threatened"
"Bonnetia_wurdackii","NotThreatened"
"Boswellia_socotrana","Vulnerable"
"Bourreria_pulchra","NotThreatened"
"Bourreria_rowellii","Threatened"
"Bourreria_superba","Threatened"
"Bouvardia_loeseneriana","NotEvaluated"
"Bowringia_callicarpa","NotThreatened"
"Brahea_aculeata","NotThreatened"
"Brahea_pimo","NotThreatened"
"Brassiantha_pentamera","NotThreatened"
"Breynia_collaris","NotThreatened"
"Brongniartia_cuneata","Threatened"
"Brongniartia_glabrata","Vulnerable"
"Brongniartia_montalvoana","Vulnerable"
"Brongniartia_podalyrioides","NotThreatened"
"Brongniartia_trifoliata","Threatened"
"Bunchosia_palmeri","NotThreatened"
"Bunchosia_sonorensis","NotEvaluated"
"Bursera_aptera","NotThreatened"
"Bursera_ariensis","NotThreatened"
"Bursera_bicolor","NotThreatened"
"Bursera_bipinnata","NotThreatened"
"Bursera_bolivarii","Vulnerable"
"Bursera_bonetii","Threatened"
"Bursera_chemapodicta","Vulnerable"
"Bursera_citronella","Vulnerable"
"Bursera_collina","Threatened"
"Bursera_confusa","Vulnerable"
"Bursera_copallifera","NotThreatened"
"Bursera_coyucensis","NotThreatened"
"Bursera_crenata","NotThreatened"
"Bursera_denticulata","Vulnerable"
"Bursera_discolor","NotThreatened"
