"species","IUCNstatus"
"Abarema_ferruginea","NotEvaluated"
"Abarema_racemiflora","NotThreatened"
"Abies_bracteata","NotThreatened"
"Abutilon_incanum","NotThreatened"
"Acacia_areolata","NotThreatened"
"Acacia_kelleri","NotThreatened"
"Acacia_kenneallyi","NotEvaluated"
"Acacia_meiosperma","NotEvaluated"
"Acacia_mimula","NotThreatened"
"Acacia_praelongata","NotThreatened"
"Acacia_simplex","NotThreatened"
"Acacia_tenuispica","NotThreatened"
"Acaciella_goldmanii","NotThreatened"
"Acaciella_rosei","Vulnerable"
"Acalypha_multiflora","NotEvaluated"
"Acalypha_pancheriana","NotEvaluated"
"Acalypha_pubiflora","NotEvaluated"
"Acanthosyris_annonagustata","NotThreatened"
"Aceratium_ferrugineum","NotEvaluated"
"Aceratium_sinuatum","Threatened"
"Achatocarpus_gracilis","Threatened"
"Acmopyle_pancheri","NotThreatened"
"Acridocarpus_austrocaledonicus","NotEvaluated"
"Acritopappus_buiquensis","NotEvaluated"
"Acrocomia_intumescens","NotEvaluated"
"Acronychia_eungellensis","NotEvaluated"
"Acropogon_aoupiniensis","Threatened"
"Acropogon_bosseri","NotThreatened"
"Acropogon_bullatus","Threatened"
"Acropogon_dzumacensis","NotThreatened"
"Acropogon_merytifolius","NotThreatened"
"Acropogon_schumanniana","NotEvaluated"
"Actinokentia_divaricata","NotThreatened"
"Adenium_multiflorum","NotThreatened"
"Adenodaphne_uniflora","NotEvaluated"
"Adenostoma_sparsifolium","NotThreatened"
"Aegiphila_valerioi","NotThreatened"
"Aesculus_parryi","NotThreatened"
"Agathis_lanceolata","Vulnerable"
"Agathis_moorei","Vulnerable"
"Agathis_ovata","Threatened"
"Aidia_congesta","NotEvaluated"
"Aidia_vieillardii","NotEvaluated"
"Aiouea_costaricensis","NotThreatened"
"Albizia_balabaka","Threatened"
"Albizia_nayaritensis","Vulnerable"
"Albizia_rhombifolia","NotEvaluated"
"Albizia_sinaloensis","NotEvaluated"
"Alectryon_carinatus","NotEvaluated"
"Alexa_herminiana","Vulnerable"
"Alfaroa_costaricensis","NotThreatened"
