Species,AOO
Abarema_abbottii,13
Abarema_acreana,87
Abarema_adenophora,679
Abarema_alexandri,0
Abarema_asplenifolia,0
Abarema_auriculata,353
Abarema_barbouriana,1451
Abarema_brachystachya,768
Abarema_callejasii,68
Abarema_campestris,157
Abarema_centiflora,0
Abarema_cochleata,756
Abarema_cochliocarpos,167
Abarema_commutata,44
Abarema_curvicarpa,112
Abarema_ferruginea,34
Abarema_filamentosa,1306
Abarema_floribunda,412
Abarema_gallorum,29
Abarema_ganymedea,39
Abarema_glauca,87
Abarema_idiopoda,460
Abarema_josephi,29
Abarema_jupunba,5429
Abarema_killipii,225
Abarema_laeta,1049
Abarema_langsdorffii,1380
Abarema_lehmannii,279
Abarema_leucophylla,329
Abarema_levelii,39
Abarema_longipedunculata,68
Abarema_macradenia,204
Abarema_mataybifolia,270
Abarema_microcalyx,422
Abarema_nipensis,13
Abarema_obovalis,111
Abarema_oppositifolia,79
Abarema_oxyphyllidia,14
Abarema_racemiflora,96
Abarema_turbinata,276
Abarema_villifera,63
Abarema_zolleriana,66
Abatia_mexicana,130
Abatia_parviflora,1216
Abatia_rugosa,24
Abatia_spicata,33
Abrahamia_deflexa,79
Abrahamia_ditimena,571
Abrahamia_grandidieri,324
Abrahamia_humbertii,52
Abrahamia_latifolia,37
Abrahamia_lecomtei,69
Abrahamia_louvelii,27
Abrahamia_oblongifolia,61
Abrahamia_sericea,332
Abrahamia_thouvenotii,234
Abrahamia_viguieri,102
Abuta_grandifolia,5447
Abuta_grisebachii,127
Abuta_imene,435
Abuta_panurensis,68
Abuta_rufescens,375
Abuta_sandwithiana,625
Abuta_velutina,107
Abutilon_giganteum,386
Abutilon_grandidentatum,65
Abutilon_haenkeanum,18
Abutilon_herzogianum,106
Abutilon_incanum,1518
Abutilon_peruvianum,161
Abutilon_purpusii,377
Abutilon_sachetianum,0
Abutilon_stenopetalum,33
Abutilon_thyrsodendron,155
Abutilon_venosum,0
Acacia_acradenia,2730
Acacia_acrionastes,130
Acacia_acuminata,3686
Acacia_adsurgens,2066
Acacia_adunca,510
Acacia_aestivalis,439
Acacia_alleniana,1115
Acacia_amblyophylla,39
Acacia_ammobia,369
Acacia_ammophila,91
Acacia_ampliata,61
Acacia_ampliceps,1312
Acacia_anastema,133
Acacia_anaticeps,198
Acacia_ancistrocarpa,3979
Acacia_aneura,25482
Acacia_anfractuosa,349
Acacia_angusta,704
Acacia_anthochaera,590
Acacia_aprepta,351
Acacia_aptaneura,3046
Acacia_arafurica,105
Acacia_araneosa,110
Acacia_areolata,195
Acacia_argyrodendron,361
Acacia_armillata,109
Acacia_armitii,156
Acacia_assimilis,1907
Acacia_atopa,98
Acacia_attenuata,172
Acacia_aulacocarpa,1851
Acacia_auriculiformis,5490
Acacia_auripila,18
Acacia_ausfeldii,550
Acacia_ayersiana,2271
Acacia_baileyana,3498
Acacia_bakeri,475
Acacia_bancroftiorum,1203
Acacia_barrettiorum,37
Acacia_beauverdiana,574
Acacia_binervata,3826
Acacia_binervia,2398
Acacia_blakei,2304
Acacia_blakelyi,1178
Acacia_blayana,63
Acacia_brachystachya,2760
Acacia_brassii,508
Acacia_brockii,196
Acacia_bromilowiana,86
Acacia_brumalis,419
Acacia_bulgaensis,141
Acacia_burrowii,1310
Acacia_burrowsiana,47
Acacia_caerulescens,97
Acacia_caesaneura,1304
Acacia_caesiella,849
Acacia_calamifolia,5147
Acacia_calcicola,1483
Acacia_cambagei,4168
Acacia_cana,636
Acacia_cangaiensis,115
Acacia_cardiophylla,457
Acacia_carneorum,933
Acacia_caroleae,2014
Acacia_catenulata,754
Acacia_celastrifolia,532
Acacia_celsa,503
Acacia_chartacea,365
Acacia_cheelii,830
Acacia_chrysotricha,55
Acacia_cincinnata,495
Acacia_citrinoviridis,711
Acacia_clunies-rossiae,257
Acacia_cockertoniana,249
Acacia_cognata,1162
Acacia_colei,3056
Acacia_colletioides,5414
Acacia_complanata,1816
Acacia_concurrens,2923
Acacia_conferta,2221
Acacia_confusa,850
Acacia_conniana,204
Acacia_conspersa,618
Acacia_convallium,240
Acacia_coolgardiensis,1478
Acacia_coriacea,1201
Acacia_courtii,41
Acacia_covenyi,75
Acacia_cowaniana,25
Acacia_cowleana,2787
Acacia_craspedocarpa,1237
Acacia_crassa,2002
Acacia_crassicarpa,1392
Acacia_crenulata,59
Acacia_cretacea,94
Acacia_cretata,361
Acacia_crombiei,179
Acacia_cuspidifolia,205
Acacia_cuthbertsonii,2056
Acacia_cyclops,2509
Acacia_cyperophylla,1340
Acacia_dallachiana,273
Acacia_dangarensis,20
Acacia_dawsonii,899
Acacia_dealbata,14225
Acacia_deanei,10061
Acacia_debilis,359
Acacia_decurrens,4817
Acacia_delibrata,383
Acacia_demissa,239
Acacia_dempsteri,212
Acacia_dentifera,431
Acacia_desertorum,237
Acacia_desmondii,94
Acacia_didyma,83
Acacia_dietrichiana,496
Acacia_difficilis,5509
Acacia_difformis,836
Acacia_disparrima,1716
Acacia_distans,255
Acacia_dodonaeifolia,751
Acacia_dolichophylla,85
Acacia_donaldsonii,145
