Species,n
Abarema_abbottii,3
Abarema_acreana,18
Abarema_adenophora,141
Abarema_alexandri,2
Abarema_asplenifolia,1
Abarema_auriculata,74
Abarema_barbouriana,304
Abarema_brachystachya,172
Abarema_callejasii,14
Abarema_campestris,35
Abarema_centiflora,2
Abarema_cochleata,157
Abarema_cochliocarpos,37
Abarema_commutata,9
Abarema_curvicarpa,24
Abarema_ferruginea,8
Abarema_filamentosa,280
Abarema_floribunda,85
Abarema_gallorum,6
Abarema_ganymedea,8
Abarema_glauca,19
Abarema_idiopoda,103
Abarema_josephi,6
Abarema_jupunba,1143
Abarema_killipii,48
Abarema_laeta,218
Abarema_langsdorffii,311
Abarema_lehmannii,60
Abarema_leucophylla,72
Abarema_levelii,9
Abarema_longipedunculata,15
Abarema_macradenia,58
Abarema_mataybifolia,57
Abarema_microcalyx,88
Abarema_nipensis,3
Abarema_obovalis,24
Abarema_oppositifolia,17
Abarema_oxyphyllidia,3
Abarema_racemiflora,20
Abarema_turbinata,61
Abarema_villifera,13
Abarema_zolleriana,14
Abatia_mexicana,33
Abatia_parviflora,251
Abatia_rugosa,5
Abatia_spicata,7
Abrahamia_deflexa,17
Abrahamia_ditimena,135
Abrahamia_grandidieri,72
Abrahamia_humbertii,11
Abrahamia_latifolia,8
Abrahamia_lecomtei,15
Abrahamia_louvelii,6
Abrahamia_oblongifolia,14
Abrahamia_sericea,73
Abrahamia_thouvenotii,53
Abrahamia_viguieri,23
Abuta_grandifolia,1152
Abuta_grisebachii,26
Abuta_imene,91
Abuta_panurensis,14
Abuta_rufescens,78
Abuta_sandwithiana,129
Abuta_velutina,22
Abutilon_giganteum,80
Abutilon_grandidentatum,16
Abutilon_haenkeanum,4
Abutilon_herzogianum,23
Abutilon_incanum,368
Abutilon_peruvianum,34
Abutilon_purpusii,83
Abutilon_sachetianum,1
Abutilon_stenopetalum,7
Abutilon_thyrsodendron,36
Abutilon_venosum,2
Acacia_acradenia,626
Acacia_acrionastes,35
Acacia_acuminata,945
Acacia_adsurgens,474
Acacia_adunca,144
Acacia_aestivalis,108
Acacia_alleniana,268
Acacia_amblyophylla,11
Acacia_ammobia,90
Acacia_ammophila,25
Acacia_ampliata,14
Acacia_ampliceps,307
Acacia_anastema,31
Acacia_anaticeps,45
Acacia_ancistrocarpa,905
Acacia_aneura,6721
Acacia_anfractuosa,94
Acacia_angusta,169
Acacia_anthochaera,144
Acacia_aprepta,86
Acacia_aptaneura,702
Acacia_arafurica,22
Acacia_araneosa,41
Acacia_areolata,42
Acacia_argyrodendron,81
Acacia_armillata,25
Acacia_armitii,36
Acacia_assimilis,479
Acacia_atopa,22
Acacia_attenuata,40
Acacia_aulacocarpa,482
Acacia_auriculiformis,1329
Acacia_auripila,4
Acacia_ausfeldii,181
Acacia_ayersiana,538
Acacia_baileyana,988
Acacia_bakeri,145
Acacia_bancroftiorum,289
Acacia_barrettiorum,8
Acacia_beauverdiana,145
Acacia_binervata,1190
Acacia_binervia,681
Acacia_blakei,591
Acacia_blakelyi,311
Acacia_blayana,20
Acacia_brachystachya,670
Acacia_brassii,116
Acacia_brockii,50
Acacia_bromilowiana,19
Acacia_brumalis,106
Acacia_bulgaensis,42
Acacia_burrowii,323
Acacia_burrowsiana,11
Acacia_caerulescens,30
Acacia_caesaneura,310
Acacia_caesiella,238
Acacia_calamifolia,1438
Acacia_calcicola,363
Acacia_cambagei,1014
Acacia_cana,159
Acacia_cangaiensis,32
Acacia_cardiophylla,121
Acacia_carneorum,239
Acacia_caroleae,516
